INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,24893.0
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,26876.0
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,26589.0
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,25700.0
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,24797.0
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,23943.0
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,23081.0
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,22277.0
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,21599.0
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,20879.0
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,20351.0
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,20064.0
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,20016.0
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,20342.0
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,20734.0
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,20725.0
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,20446.0
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,19853.0
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,19277.0
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,18946.0
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,18821.0
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,19158.0
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,20181.0
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,21302.0
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,22778.0
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,24688.0
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,24972.0
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,24748.0
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,24206.0
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,23246.0
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,21926.0
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,20721.0
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,19951.0
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,19424.0
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,19117.0
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,19234.0
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,19993.0
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,21295.0
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,23122.0
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,24141.0
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,24369.0
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,23644.0
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,22753.0
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,22630.0
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,22578.0
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,22717.0
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,23255.0
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,23685.0
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,26749.0
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,27355.0
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,27473.0
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,26985.0
2020-01-03T04:00:00-00:00,2020-01-03T05:00:00-00:00,26192.0
2020-01-03T05:00:00-00:00,2020-01-03T06:00:00-00:00,25044.0
2020-01-03T06:00:00-00:00,2020-01-03T07:00:00-00:00,23480.0
2020-01-03T07:00:00-00:00,2020-01-03T08:00:00-00:00,21952.0
2020-01-03T08:00:00-00:00,2020-01-03T09:00:00-00:00,20827.0
2020-01-03T09:00:00-00:00,2020-01-03T10:00:00-00:00,20065.0
2020-01-03T10:00:00-00:00,2020-01-03T11:00:00-00:00,19736.0
