x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
24893.0,26876.0,26589.0,25700.0,24797.0,23943.0,23081.0,22277.0,21599.0,20879.0,20351.0,20064.0,20016.0,20342.0,20734.0,20725.0,20446.0,19853.0,19277.0,18946.0,18821.0,19158.0,20181.0,21302.0
22778.0,24688.0,24972.0,24748.0,24206.0,23246.0,21926.0,20721.0,19951.0,19424.0,19117.0,19234.0,19993.0,21295.0,23122.0,24141.0,24369.0,23644.0,22753.0,22630.0,22578.0,22717.0,23255.0,23685.0
26749.0,27355.0,27473.0,26985.0,26192.0,25044.0,23480.0,21952.0,20827.0,20065.0,19736.0,19815.0,20547.0,22035.0,23793.0,24531.0,24215.0,23385.0,22689.0,22336.0,22090.0,22220.0,22613.0,23518.0
25206.0,26961.0,26975.0,26460.0,25797.0,24850.0,23441.0,22026.0,20950.0,20145.0,19673.0,19538.0,19825.0,20515.0,21407.0,21784.0,21621.0,21007.0,20480.0,19981.0,19889.0,20281.0,20699.0,21575.0
23256.0,25239.0,25423.0,24981.0,24579.0,23808.0,22589.0,21388.0,20364.0,19675.0,19466.0,19300.0,19493.0,19968.0,20485.0,20867.0,20808.0,20346.0,19895.0,19500.0,19416.0,19569.0,20016.0,21118.0
23200.0,25485.0,25906.0,25592.0,24957.0,23894.0,22334.0,20952.0,20095.0,19540.0,19264.0,19390.0,20298.0,22147.0,24487.0,25481.0,24872.0,23690.0,22848.0,22539.0,22491.0,22447.0,22647.0,23770.0
25636.0,27575.0,27712.0,27146.0,26271.0,24887.0,23099.0,21553.0,20591.0,19951.0,19641.0,19766.0,20666.0,22584.0,24903.0,25824.0,25282.0,24411.0,23633.0,23110.0,23024.0,23160.0,23496.0,24354.0
25910.0,27781.0,27950.0,27422.0,26529.0,25110.0,23268.0,21654.0,20640.0,19991.0,19659.0,19740.0,20552.0,22366.0,24661.0,25708.0,25371.0,24853.0,24408.0,23796.0,23238.0,23035.0,23326.0,24299.0
25835.0,27493.0,27685.0,27334.0,26737.0,25606.0,23768.0,21861.0,20783.0,20058.0,19718.0,19832.0,20651.0,22432.0,24616.0,25756.0,25523.0,25115.0,24608.0,24004.0,23653.0,23749.0,23799.0,24497.0
25944.0,27829.0,28142.0,27685.0,26898.0,25582.0,23820.0,22275.0,21296.0,20642.0,20575.0,20603.0,21223.0,23068.0,25403.0,26297.0,25525.0,24187.0,22993.0,22155.0,21735.0,21900.0,22204.0,23238.0
25105.0,27129.0,27306.0,26812.0,26144.0,25101.0,23638.0,22127.0,20996.0,20219.0,19720.0,19575.0,19856.0,20670.0,21732.0,22222.0,22078.0,21550.0,20838.0,20237.0,19874.0,19956.0,20548.0,21465.0
23070.0,25175.0,25538.0,25182.0,24610.0,23751.0,22510.0,21283.0,20443.0,20004.0,19583.0,19421.0,19643.0,20253.0,21068.0,21423.0,21243.0,20787.0,20176.0,19412.0,19500.0,19899.0,20329.0,21227.0
23263.0,25533.0,26011.0,25721.0,25012.0,23791.0,22169.0,20766.0,19936.0,19508.0,19478.0,19717.0,20677.0,22466.0,24973.0,26015.0,25275.0,23995.0,23044.0,22504.0,22587.0,22838.0,23111.0,23955.0
