INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2021-01-01T00:00:00-00:00,2021-01-01T01:00:00-00:00,96.92698
2021-01-01T01:00:00-00:00,2021-01-01T02:00:00-00:00,-3.86486
2021-01-01T02:00:00-00:00,2021-01-01T03:00:00-00:00,-3.80564
2021-01-01T03:00:00-00:00,2021-01-01T04:00:00-00:00,-3.82904
2021-01-01T04:00:00-00:00,2021-01-01T05:00:00-00:00,-3.86674
2021-01-01T05:00:00-00:00,2021-01-01T06:00:00-00:00,-3.87517
2021-01-01T06:00:00-00:00,2021-01-01T07:00:00-00:00,-3.86108
2021-01-01T07:00:00-00:00,2021-01-01T08:00:00-00:00,-3.8846
2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,-3.88458
2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,-3.91677
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,-3.94931
2021-01-01T11:00:00-00:00,2021-01-01T12:00:00-00:00,-3.95021
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,-3.96713
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,-3.90773
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,-4.0591
2021-01-01T15:00:00-00:00,2021-01-01T16:00:00-00:00,60.64451
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,576.37756
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,904.79859
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,1030.40696
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,933.35242
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,830.69416
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,819.15587
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,727.65731
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,410.03627
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,63.51368
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,-3.84844
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,-3.81867
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,-3.81434
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,-3.81093
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,-3.84791
2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,-3.86133
2021-01-02T07:00:00-00:00,2021-01-02T08:00:00-00:00,-3.88318
2021-01-02T08:00:00-00:00,2021-01-02T09:00:00-00:00,-3.89148
2021-01-02T09:00:00-00:00,2021-01-02T10:00:00-00:00,-3.91644
2021-01-02T10:00:00-00:00,2021-01-02T11:00:00-00:00,-3.9379
2021-01-02T11:00:00-00:00,2021-01-02T12:00:00-00:00,-3.96451
2021-01-02T12:00:00-00:00,2021-01-02T13:00:00-00:00,-3.91679
2021-01-02T13:00:00-00:00,2021-01-02T14:00:00-00:00,-3.91114
2021-01-02T14:00:00-00:00,2021-01-02T15:00:00-00:00,-4.04067
2021-01-02T15:00:00-00:00,2021-01-02T16:00:00-00:00,59.71524
2021-01-02T16:00:00-00:00,2021-01-02T17:00:00-00:00,348.30122
2021-01-02T17:00:00-00:00,2021-01-02T18:00:00-00:00,461.61006
2021-01-02T18:00:00-00:00,2021-01-02T19:00:00-00:00,515.98532
2021-01-02T19:00:00-00:00,2021-01-02T20:00:00-00:00,585.42281
2021-01-02T20:00:00-00:00,2021-01-02T21:00:00-00:00,560.69808
2021-01-02T21:00:00-00:00,2021-01-02T22:00:00-00:00,524.71873
2021-01-02T22:00:00-00:00,2021-01-02T23:00:00-00:00,400.73442
2021-01-02T23:00:00-00:00,2021-01-03T00:00:00-00:00,191.5361
2021-01-03T00:00:00-00:00,2021-01-03T01:00:00-00:00,24.509
2021-01-03T01:00:00-00:00,2021-01-03T02:00:00-00:00,-3.62747
2021-01-03T02:00:00-00:00,2021-01-03T03:00:00-00:00,-3.41629
2021-01-03T03:00:00-00:00,2021-01-03T04:00:00-00:00,-3.41883
2021-01-03T04:00:00-00:00,2021-01-03T05:00:00-00:00,-3.41293
2021-01-03T05:00:00-00:00,2021-01-03T06:00:00-00:00,-3.46009
2021-01-03T06:00:00-00:00,2021-01-03T07:00:00-00:00,-3.47443
2021-01-03T07:00:00-00:00,2021-01-03T08:00:00-00:00,-3.4497
2021-01-03T08:00:00-00:00,2021-01-03T09:00:00-00:00,-3.46181
2021-01-03T09:00:00-00:00,2021-01-03T10:00:00-00:00,-3.47156
2021-01-03T10:00:00-00:00,2021-01-03T11:00:00-00:00,-3.47884
2021-01-03T11:00:00-00:00,2021-01-03T12:00:00-00:00,-3.46205
2021-01-03T12:00:00-00:00,2021-01-03T13:00:00-00:00,-3.48345
2021-01-03T13:00:00-00:00,2021-01-03T14:00:00-00:00,-3.48056
2021-01-03T14:00:00-00:00,2021-01-03T15:00:00-00:00,-3.56753
2021-01-03T15:00:00-00:00,2021-01-03T16:00:00-00:00,30.78175
2021-01-03T16:00:00-00:00,2021-01-03T17:00:00-00:00,398.27628
2021-01-03T17:00:00-00:00,2021-01-03T18:00:00-00:00,714.70316
2021-01-03T18:00:00-00:00,2021-01-03T19:00:00-00:00,900.47096
2021-01-03T19:00:00-00:00,2021-01-03T20:00:00-00:00,865.62006
2021-01-03T20:00:00-00:00,2021-01-03T21:00:00-00:00,805.46827
2021-01-03T21:00:00-00:00,2021-01-03T22:00:00-00:00,720.56081
2021-01-03T22:00:00-00:00,2021-01-03T23:00:00-00:00,695.62134
2021-01-03T23:00:00-00:00,2021-01-04T00:00:00-00:00,324.30118
2021-01-04T00:00:00-00:00,2021-01-04T01:00:00-00:00,54.62545
2021-01-04T01:00:00-00:00,2021-01-04T02:00:00-00:00,-3.68843
2021-01-04T02:00:00-00:00,2021-01-04T03:00:00-00:00,-3.4171
2021-01-04T03:00:00-00:00,2021-01-04T04:00:00-00:00,-3.40814
2021-01-04T04:00:00-00:00,2021-01-04T05:00:00-00:00,-3.42079
2021-01-04T05:00:00-00:00,2021-01-04T06:00:00-00:00,-3.43216
2021-01-04T06:00:00-00:00,2021-01-04T07:00:00-00:00,-3.43046
2021-01-04T07:00:00-00:00,2021-01-04T08:00:00-00:00,-3.45529
2021-01-04T08:00:00-00:00,2021-01-04T09:00:00-00:00,-3.45628
2021-01-04T09:00:00-00:00,2021-01-04T10:00:00-00:00,-3.44145
2021-01-04T10:00:00-00:00,2021-01-04T11:00:00-00:00,-3.4193
2021-01-04T11:00:00-00:00,2021-01-04T12:00:00-00:00,-3.46494
2021-01-04T12:00:00-00:00,2021-01-04T13:00:00-00:00,-3.43764
2021-01-04T13:00:00-00:00,2021-01-04T14:00:00-00:00,-3.42463
2021-01-04T14:00:00-00:00,2021-01-04T15:00:00-00:00,-3.54189
2021-01-04T15:00:00-00:00,2021-01-04T16:00:00-00:00,72.58712
2021-01-04T16:00:00-00:00,2021-01-04T17:00:00-00:00,333.80623
2021-01-04T17:00:00-00:00,2021-01-04T18:00:00-00:00,560.79042
2021-01-04T18:00:00-00:00,2021-01-04T19:00:00-00:00,573.25287
2021-01-04T19:00:00-00:00,2021-01-04T20:00:00-00:00,489.72964
2021-01-04T20:00:00-00:00,2021-01-04T21:00:00-00:00,387.93049
2021-01-04T21:00:00-00:00,2021-01-04T22:00:00-00:00,344.33033
2021-01-04T22:00:00-00:00,2021-01-04T23:00:00-00:00,218.4828
2021-01-04T23:00:00-00:00,2021-01-05T00:00:00-00:00,201.33488
2021-01-05T00:00:00-00:00,2021-01-05T01:00:00-00:00,53.76422
2021-01-05T01:00:00-00:00,2021-01-05T02:00:00-00:00,-3.55943
2021-01-05T02:00:00-00:00,2021-01-05T03:00:00-00:00,-3.39346
2021-01-05T03:00:00-00:00,2021-01-05T04:00:00-00:00,-3.42037
2021-01-05T04:00:00-00:00,2021-01-05T05:00:00-00:00,-3.43824
2021-01-05T05:00:00-00:00,2021-01-05T06:00:00-00:00,-3.25399
2021-01-05T06:00:00-00:00,2021-01-05T07:00:00-00:00,-3.134
2021-01-05T07:00:00-00:00,2021-01-05T08:00:00-00:00,-3.16014
2021-01-05T08:00:00-00:00,2021-01-05T09:00:00-00:00,-3.1519
2021-01-05T09:00:00-00:00,2021-01-05T10:00:00-00:00,-3.14805
2021-01-05T10:00:00-00:00,2021-01-05T11:00:00-00:00,-3.1441
2021-01-05T11:00:00-00:00,2021-01-05T12:00:00-00:00,-3.17084
2021-01-05T12:00:00-00:00,2021-01-05T13:00:00-00:00,-3.47458
2021-01-05T13:00:00-00:00,2021-01-05T14:00:00-00:00,-3.42556
2021-01-05T14:00:00-00:00,2021-01-05T15:00:00-00:00,-3.5033
2021-01-05T15:00:00-00:00,2021-01-05T16:00:00-00:00,56.62473
