INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2021-01-01T00:00:00-00:00,2021-01-01T01:00:00-00:00,293.69039
2021-01-01T01:00:00-00:00,2021-01-01T02:00:00-00:00,-27.52812
2021-01-01T02:00:00-00:00,2021-01-01T03:00:00-00:00,-26.58141
2021-01-01T03:00:00-00:00,2021-01-01T04:00:00-00:00,-26.07333
2021-01-01T04:00:00-00:00,2021-01-01T05:00:00-00:00,-26.0084
2021-01-01T05:00:00-00:00,2021-01-01T06:00:00-00:00,-25.97422
2021-01-01T06:00:00-00:00,2021-01-01T07:00:00-00:00,-26.37084
2021-01-01T07:00:00-00:00,2021-01-01T08:00:00-00:00,-26.06316
2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,-26.26146
2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,-26.16373
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,-26.17962
2021-01-01T11:00:00-00:00,2021-01-01T12:00:00-00:00,-27.53725
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,-28.15593
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,-29.89209
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,0.45254
2021-01-01T15:00:00-00:00,2021-01-01T16:00:00-00:00,1113.79644
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,4167.28547
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,5452.38688
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,5821.65519
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,5875.4992
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,5656.61377
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,5651.54268
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,5189.00215
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,3344.76305
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,443.42115
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,-26.84193
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,-26.6181
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,-25.96408
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,-26.00046
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,-25.8828
2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,-26.2289
2021-01-02T07:00:00-00:00,2021-01-02T08:00:00-00:00,-25.84872
2021-01-02T08:00:00-00:00,2021-01-02T09:00:00-00:00,-25.88826
2021-01-02T09:00:00-00:00,2021-01-02T10:00:00-00:00,-26.01922
2021-01-02T10:00:00-00:00,2021-01-02T11:00:00-00:00,-26.39426
2021-01-02T11:00:00-00:00,2021-01-02T12:00:00-00:00,-28.40973
2021-01-02T12:00:00-00:00,2021-01-02T13:00:00-00:00,-28.97411
2021-01-02T13:00:00-00:00,2021-01-02T14:00:00-00:00,-29.39097
2021-01-02T14:00:00-00:00,2021-01-02T15:00:00-00:00,-20.2276
2021-01-02T15:00:00-00:00,2021-01-02T16:00:00-00:00,826.02491
2021-01-02T16:00:00-00:00,2021-01-02T17:00:00-00:00,3066.13134
