INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2021-01-01T00:00:00-00:00,2021-01-01T01:00:00-00:00,85.55274
2021-01-01T01:00:00-00:00,2021-01-01T02:00:00-00:00,-6.04811
2021-01-01T02:00:00-00:00,2021-01-01T03:00:00-00:00,-5.9387
2021-01-01T03:00:00-00:00,2021-01-01T04:00:00-00:00,-5.64768
2021-01-01T04:00:00-00:00,2021-01-01T05:00:00-00:00,-5.65018
2021-01-01T05:00:00-00:00,2021-01-01T06:00:00-00:00,-5.66542
2021-01-01T06:00:00-00:00,2021-01-01T07:00:00-00:00,-5.68017
2021-01-01T07:00:00-00:00,2021-01-01T08:00:00-00:00,-5.68264
2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,-5.69359
2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,-5.79587
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,-5.7101
2021-01-01T11:00:00-00:00,2021-01-01T12:00:00-00:00,-5.7435
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,-5.76637
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,-5.76386
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,-5.81536
2021-01-01T15:00:00-00:00,2021-01-01T16:00:00-00:00,94.92986
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,706.341
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,1189.43264
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,1308.07089
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,1310.8555
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,1307.46963
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,1274.16458
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,1063.43598
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,586.78887
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,108.56225
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,24.13368
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,24.6112
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,24.62513
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,-4.21568
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,-5.58689
2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,-5.64709
2021-01-02T07:00:00-00:00,2021-01-02T08:00:00-00:00,-5.66248
2021-01-02T08:00:00-00:00,2021-01-02T09:00:00-00:00,-5.73819
2021-01-02T09:00:00-00:00,2021-01-02T10:00:00-00:00,-5.7557
2021-01-02T10:00:00-00:00,2021-01-02T11:00:00-00:00,-6.59225
2021-01-02T11:00:00-00:00,2021-01-02T12:00:00-00:00,-5.75473
2021-01-02T12:00:00-00:00,2021-01-02T13:00:00-00:00,-5.72776
2021-01-02T13:00:00-00:00,2021-01-02T14:00:00-00:00,-5.73831
2021-01-02T14:00:00-00:00,2021-01-02T15:00:00-00:00,-5.81784
2021-01-02T15:00:00-00:00,2021-01-02T16:00:00-00:00,86.44269
2021-01-02T16:00:00-00:00,2021-01-02T17:00:00-00:00,584.81578
2021-01-02T17:00:00-00:00,2021-01-02T18:00:00-00:00,1046.75931
2021-01-02T18:00:00-00:00,2021-01-02T19:00:00-00:00,1056.97365
2021-01-02T19:00:00-00:00,2021-01-02T20:00:00-00:00,868.29614
2021-01-02T20:00:00-00:00,2021-01-02T21:00:00-00:00,739.92987
2021-01-02T21:00:00-00:00,2021-01-02T22:00:00-00:00,774.4051
2021-01-02T22:00:00-00:00,2021-01-02T23:00:00-00:00,702.45204
2021-01-02T23:00:00-00:00,2021-01-03T00:00:00-00:00,354.62177
2021-01-03T00:00:00-00:00,2021-01-03T01:00:00-00:00,31.19561
2021-01-03T01:00:00-00:00,2021-01-03T02:00:00-00:00,-5.74985
2021-01-03T02:00:00-00:00,2021-01-03T03:00:00-00:00,-5.59964
2021-01-03T03:00:00-00:00,2021-01-03T04:00:00-00:00,-5.60926
2021-01-03T04:00:00-00:00,2021-01-03T05:00:00-00:00,-5.60382
2021-01-03T05:00:00-00:00,2021-01-03T06:00:00-00:00,-5.65394
2021-01-03T06:00:00-00:00,2021-01-03T07:00:00-00:00,-5.67202
2021-01-03T07:00:00-00:00,2021-01-03T08:00:00-00:00,-5.66232
2021-01-03T08:00:00-00:00,2021-01-03T09:00:00-00:00,-5.67231
2021-01-03T09:00:00-00:00,2021-01-03T10:00:00-00:00,-5.67529
