INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2021-01-01T00:00:00-00:00,2021-01-01T01:00:00-00:00,225.72212
2021-01-01T01:00:00-00:00,2021-01-01T02:00:00-00:00,222.50278
2021-01-01T02:00:00-00:00,2021-01-01T03:00:00-00:00,165.48975
2021-01-01T03:00:00-00:00,2021-01-01T04:00:00-00:00,153.29676
2021-01-01T04:00:00-00:00,2021-01-01T05:00:00-00:00,171.66981
2021-01-01T05:00:00-00:00,2021-01-01T06:00:00-00:00,169.06874
2021-01-01T06:00:00-00:00,2021-01-01T07:00:00-00:00,191.76105
2021-01-01T07:00:00-00:00,2021-01-01T08:00:00-00:00,145.88071
2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,179.27404
2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,97.43401
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,41.32052
2021-01-01T11:00:00-00:00,2021-01-01T12:00:00-00:00,20.3719
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,43.17521
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,33.19816
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,19.62017
2021-01-01T15:00:00-00:00,2021-01-01T16:00:00-00:00,20.89393
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,13.97375
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,6.47187
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,2.57636
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,5.66457
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,17.23152
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,29.87368
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,68.84533
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,89.33444
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,88.56303
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,87.30774
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,116.40578
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,130.72065
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,87.91831
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,61.11186
