INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2021-01-01T00:00:00-00:00,2021-01-01T01:00:00-00:00,606.49189
2021-01-01T01:00:00-00:00,2021-01-01T02:00:00-00:00,659.65491
2021-01-01T02:00:00-00:00,2021-01-01T03:00:00-00:00,663.3236
2021-01-01T03:00:00-00:00,2021-01-01T04:00:00-00:00,417.19052
2021-01-01T04:00:00-00:00,2021-01-01T05:00:00-00:00,439.01435
2021-01-01T05:00:00-00:00,2021-01-01T06:00:00-00:00,443.34843
2021-01-01T06:00:00-00:00,2021-01-01T07:00:00-00:00,482.45752
2021-01-01T07:00:00-00:00,2021-01-01T08:00:00-00:00,677.73391
2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,642.26888
2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,831.37424
2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,949.30141
2021-01-01T11:00:00-00:00,2021-01-01T12:00:00-00:00,789.55642
2021-01-01T12:00:00-00:00,2021-01-01T13:00:00-00:00,821.01753
2021-01-01T13:00:00-00:00,2021-01-01T14:00:00-00:00,557.38114
2021-01-01T14:00:00-00:00,2021-01-01T15:00:00-00:00,339.91434
2021-01-01T15:00:00-00:00,2021-01-01T16:00:00-00:00,385.17888
2021-01-01T16:00:00-00:00,2021-01-01T17:00:00-00:00,418.51255
2021-01-01T17:00:00-00:00,2021-01-01T18:00:00-00:00,436.84192
2021-01-01T18:00:00-00:00,2021-01-01T19:00:00-00:00,284.09866
2021-01-01T19:00:00-00:00,2021-01-01T20:00:00-00:00,316.60141
2021-01-01T20:00:00-00:00,2021-01-01T21:00:00-00:00,322.53511
2021-01-01T21:00:00-00:00,2021-01-01T22:00:00-00:00,259.55078
2021-01-01T22:00:00-00:00,2021-01-01T23:00:00-00:00,159.90774
2021-01-01T23:00:00-00:00,2021-01-02T00:00:00-00:00,75.85498
2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,31.79833
2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,18.58718
2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,25.7462
2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,36.85431
2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,29.20834
2021-01-02T05:00:00-00:00,2021-01-02T06:00:00-00:00,17.12142
2021-01-02T06:00:00-00:00,2021-01-02T07:00:00-00:00,72.52942
2021-01-02T07:00:00-00:00,2021-01-02T08:00:00-00:00,159.69519
2021-01-02T08:00:00-00:00,2021-01-02T09:00:00-00:00,264.37937
2021-01-02T09:00:00-00:00,2021-01-02T10:00:00-00:00,295.80932
2021-01-02T10:00:00-00:00,2021-01-02T11:00:00-00:00,387.81741
2021-01-02T11:00:00-00:00,2021-01-02T12:00:00-00:00,198.45506
2021-01-02T12:00:00-00:00,2021-01-02T13:00:00-00:00,374.64919
2021-01-02T13:00:00-00:00,2021-01-02T14:00:00-00:00,647.99191
2021-01-02T14:00:00-00:00,2021-01-02T15:00:00-00:00,659.53197
2021-01-02T15:00:00-00:00,2021-01-02T16:00:00-00:00,668.52831
2021-01-02T16:00:00-00:00,2021-01-02T17:00:00-00:00,668.39038
2021-01-02T17:00:00-00:00,2021-01-02T18:00:00-00:00,564.67414
2021-01-02T18:00:00-00:00,2021-01-02T19:00:00-00:00,544.25537
2021-01-02T19:00:00-00:00,2021-01-02T20:00:00-00:00,778.47416
2021-01-02T20:00:00-00:00,2021-01-02T21:00:00-00:00,1056.70644
2021-01-02T21:00:00-00:00,2021-01-02T22:00:00-00:00,1451.33112
2021-01-02T22:00:00-00:00,2021-01-02T23:00:00-00:00,1171.99449
2021-01-02T23:00:00-00:00,2021-01-03T00:00:00-00:00,991.15952
2021-01-03T00:00:00-00:00,2021-01-03T01:00:00-00:00,900.05443
2021-01-03T01:00:00-00:00,2021-01-03T02:00:00-00:00,806.85985
2021-01-03T02:00:00-00:00,2021-01-03T03:00:00-00:00,809.73998
2021-01-03T03:00:00-00:00,2021-01-03T04:00:00-00:00,992.48081
2021-01-03T04:00:00-00:00,2021-01-03T05:00:00-00:00,1086.53408
2021-01-03T05:00:00-00:00,2021-01-03T06:00:00-00:00,1482.29522
2021-01-03T06:00:00-00:00,2021-01-03T07:00:00-00:00,1649.15592
2021-01-03T07:00:00-00:00,2021-01-03T08:00:00-00:00,1537.26226
2021-01-03T08:00:00-00:00,2021-01-03T09:00:00-00:00,1239.96966
2021-01-03T09:00:00-00:00,2021-01-03T10:00:00-00:00,1211.97426
2021-01-03T10:00:00-00:00,2021-01-03T11:00:00-00:00,1340.44675
2021-01-03T11:00:00-00:00,2021-01-03T12:00:00-00:00,1570.67875
2021-01-03T12:00:00-00:00,2021-01-03T13:00:00-00:00,1382.43174
2021-01-03T13:00:00-00:00,2021-01-03T14:00:00-00:00,1534.6018
2021-01-03T14:00:00-00:00,2021-01-03T15:00:00-00:00,1941.47071
2021-01-03T15:00:00-00:00,2021-01-03T16:00:00-00:00,1878.31435
2021-01-03T16:00:00-00:00,2021-01-03T17:00:00-00:00,1475.13138
2021-01-03T17:00:00-00:00,2021-01-03T18:00:00-00:00,1034.44122
2021-01-03T18:00:00-00:00,2021-01-03T19:00:00-00:00,420.13673
2021-01-03T19:00:00-00:00,2021-01-03T20:00:00-00:00,223.86306
2021-01-03T20:00:00-00:00,2021-01-03T21:00:00-00:00,161.21461
2021-01-03T21:00:00-00:00,2021-01-03T22:00:00-00:00,96.63209
2021-01-03T22:00:00-00:00,2021-01-03T23:00:00-00:00,68.1945
