x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
96.92698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64451,576.37756,904.79859,1030.40696,933.35242,830.69416,819.15587,727.65731,410.03627
63.51368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.71524,348.30122,461.61006,515.98532,585.42281,560.69808,524.71873,400.73442,191.5361
24.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.78175,398.27628,714.70316,900.47096,865.62006,805.46827,720.56081,695.62134,324.30118
54.62545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.58712,333.80623,560.79042,573.25287,489.72964,387.93049,344.33033,218.4828,201.33488
53.76422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.62473,658.82726,1091.89849,1067.16484,1024.72505,962.83965,940.52714,455.7855,224.21826
89.04427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.77641,467.5585,592.73564,725.93294,816.93519,684.8675,565.09082,688.83148,664.22996
183.56296,20.56667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.98537,81.87399,190.12256,340.46355,450.11178,476.7662,553.20068,640.39233,566.85821
169.78605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.26779,367.23778,754.6744,697.29498,624.92342,719.3665,821.93319,752.10704,651.04521
135.31599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.50626,466.53151,699.30391,975.7774,1011.12078,1009.38368,1048.51177,1107.94152,877.70092
244.77235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.54723,454.60025,921.09262,1033.02765,1029.50593,1047.04936,1004.5401,913.64112,768.16098
206.57544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77191,537.76115,823.17076,819.10076,872.17997,864.35028,729.76833,859.0867,677.371
160.33557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10855,202.47344,289.85848,463.28013,464.71594,508.29775,459.73592,499.03955,374.04505
85.35767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.46917,487.5682,1005.07596,1072.32848,1035.67264,984.13496,1002.11623,1082.86284,882.4766
201.04831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.68413,412.73941,772.55998,841.07838,987.35892,1021.21125,1092.10988,1139.10404,816.52494
210.18528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.98918,552.77842,904.96738,1006.26081,1079.51334,1022.35986,1032.08494,1056.28982,820.66023
167.93103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16856,697.48769,1107.2143,1102.35175,1072.08798,1070.7832,1123.34489,1160.42107,924.51966
240.71152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.04907,631.77471,1083.57305,1039.78364,943.67721,882.44911,862.89976,865.9698,814.86237
230.35645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.73168,643.03475,1098.74703,1137.32625,1101.93372,1095.48809,1161.61115,1211.4642,1011.62989
282.7852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.16532,637.26431,1045.23445,1101.03861,1052.02533,1052.69921,1112.74749,1147.49905,935.88593
261.55872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9825,794.20523,1219.07143,1211.12541,1148.5662,1095.09772,1179.10255,1181.11045,1043.69488
307.9925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.60909,804.43447,1170.18164,1199.37593,1134.54118,1124.71825,1165.90499,1086.74953,900.10113
283.47949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78356,234.475,633.113,877.07657,536.94672,541.78847,539.51034,589.92797,318.16872
145.78021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91331,118.69159,239.89838,438.47912,577.42987,637.30714,824.61134,794.64895,884.98597
275.35062,1.23887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.94977,529.79727,923.5406,927.5402,883.91653,680.74078,444.16905,235.18321,163.53569
44.75998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.20168,348.78097,606.02101,577.07799,773.83518,732.53447,531.68004,596.04117,715.68653
257.7841,1.80513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.17123,864.28022,1177.4081,1173.71459,1038.13469,883.09473,806.34528,755.75529,378.62738
92.76476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23023,33.58468,72.60296,104.63749,134.65356,154.03376,134.68021,86.74016,50.47625
16.91405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99411,41.33093,82.77,124.46212,155.04634,147.53243,119.7077,71.4407,40.44223
9.51738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.01903,723.20435,1160.43455,1068.2335,1024.63789,929.72595,989.1621,875.84373,763.80072
268.84146,2.62033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.10803,831.78379,1112.33822,1035.68239,839.6832,797.97346,835.74081,857.52822,839.30714
362.19897,4.18138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.31229,671.56874,928.35105,869.67163,841.2038,965.51947,856.60873,760.20972,364.60965
107.85046,1.20787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52991,309.87426,806.85045,775.32687,892.01625,1137.48833,1036.83237,1184.9344,1112.21635
491.5696,11.63584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.23977,825.01286,924.79623,950.7502,907.22737,878.54489,700.30404,721.0878,593.50054
221.56091,6.5896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.35615,984.90651,1197.26225,1109.84491,1080.20126,1005.78379,957.01897,1229.33491,1078.01233
496.60525,24.5846,3.8144,3.89028,3.89162,3.87345,3.89979,3.9007,3.74723,0.0,0.0,0.0,0.0,0.0,0.0,171.3239,902.49033,1244.43459,1249.84999,1160.49931,1083.47923,1192.90081,1040.91432,1134.98529
582.67777,20.22472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.72031,776.2286,689.93877,956.80369,1011.69359,1130.71747,1090.36099,1039.1013,918.3399
578.19965,22.57391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.19008,826.24542,967.40188,942.57261,904.22037,904.67508,933.96097,966.77997,1008.39879
553.69929,25.01062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.43421,987.13101,1181.09178,1091.91287,1076.45492,951.4549,903.79321,966.38897,901.80863
293.19528,17.05051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.3428,706.44097,964.11239,1074.39561,936.63323,933.83609,528.07886,616.17623,506.17614
187.4045,10.25288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.64507,269.36601,463.45977,930.71523,960.21554,928.99285,801.15991,589.32973,409.53951
138.35907,9.55289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.6721,970.84889,1222.02278,1218.97845,1152.03985,1182.84115,1222.26702,1269.30518,1191.56842
631.77363,36.97648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.23992,629.27021,868.9055,758.55318,780.85853,764.92976,463.45677,387.90128,202.24938
47.9397,0.48924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.23029,1081.41907,1342.48327,1013.62173,876.12941,788.36723,786.84941,879.4142,1035.68589
568.9441,43.86895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40213,128.12916,415.74602,716.50528,977.83203,1013.82655,1105.0304,1176.93796,934.83806,838.71764
571.02409,70.70859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03944,249.60778,1007.53106,1195.65078,1271.05702,1138.62393,1005.17297,721.7121,791.88991,464.46879
182.17215,13.16264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.41592,285.48572,604.89936,966.67564,845.86249,899.23264,674.76427,670.5847,442.34748
415.35061,45.30102,0.0,0.06482,0.1487,0.1028,0.08245,0.05709,0.14313,0.11721,0.09552,0.04946,0.03349,0.11417,2.48718,330.04476,1073.14908,1225.02769,1138.99149,935.28713,919.38063,903.42248,1167.77131,1291.19993
744.96991,70.64363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3485,386.74423,1238.81975,1262.3963,1182.90152,1058.29576,1073.52986,1218.01842,1422.1949,1390.38935
739.94869,71.69458,0.21938,0.37856,0.29422,0.30977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5633,412.11956,1255.74838,1411.69991,1343.49711,1290.69747,1309.60321,1351.21807,1349.30244,1238.87209
763.90796,77.17731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91122,367.74873,1042.23706,1182.58323,1181.43453,1070.09602,1042.77929,1017.35136,877.46998,892.77181
600.46181,47.54243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31276,422.57611,1219.45507,1042.38029,928.14871,817.58748,849.25191,857.48403,956.11239,1095.47728
809.23474,88.07723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38579,433.83294,1273.4675,1334.48729,1266.27074,1193.65998,1079.07433,1028.41124,1207.30284,1263.91524
884.16532,105.47037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12275,460.60392,1270.89233,1419.81892,1397.83913,1335.78966,1301.46287,1284.7475,1324.25797,1306.77383
845.21987,113.28394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58159,256.15434,701.06629,941.4563,988.61027,1130.80627,1114.11576,1113.02761,1230.69438,1360.8883
864.81629,115.21978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21042,524.397,1314.97344,1454.70612,1396.05256,1406.9376,1386.44536,1401.11177,1418.29449,1435.28484
950.58752,124.37977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94485,474.74776,1223.49405,1444.28917,1420.95445,1379.31837,1328.49752,1343.23296,1410.82416,1305.13607
865.83111,127.64936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25169,550.05968,1270.84705,1396.06746,1373.87526,1333.98988,1045.4022,1020.09453,1254.50217,1349.21138
878.75907,130.82224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41898,558.56145,1309.46266,1302.36754,1186.76359,1001.67817,966.82852,892.35383,952.7807,1199.43123
845.95178,128.28868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56206,390.24246,1205.9329,1333.26238,1219.15717,1003.8637,956.27874,966.28367,1058.25423,1292.63363
938.20746,146.4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86009,487.05939,1202.77274,1334.51745,1274.29798,1271.29037,1328.1278,1263.24733,1238.49113,737.17907
286.94947,45.18847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75651,92.62286,221.91601,357.81925,602.41132,871.75495,1085.17638,1070.3628,888.35032,872.683
502.95115,94.79919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.585,603.04014,1282.14681,1384.6504,1404.76873,1294.331,1250.54766,1325.84937,1372.20805,1344.5864
934.07152,158.45459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.17555,648.3847,1297.72882,1412.00497,1390.83487,1338.49561,1372.42746,1356.21287,1333.62721,1255.19503
809.85269,139.66967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.97377,283.88706,984.959,1201.89349,1314.48839,1194.40206,995.16645,1001.10413,1038.14192,1097.85448
970.52086,198.04144,0.3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.46185,589.48489,1107.26129,1218.85225,1292.93555,1216.69903,1166.689,1250.04964,1139.69815,842.91848
571.9884,201.00115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.00029,727.18281,1289.58416,1408.57819,1362.29838,1290.64309,1300.23729,1347.70384,1371.25312,1003.34666
680.88844,127.3948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29528,368.01748,876.39211,972.94211,870.92985,936.84998,1206.71687,1295.54662,1121.06908,703.62196
319.14411,43.40179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32082,136.11881,666.4237,730.70107,819.80844,1159.03963,867.84928,929.93924,731.18594,719.80026
344.04496,85.27518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.60213,380.26717,589.44081,769.52268,862.58499,832.96023,934.50192,1007.11631,829.30839,900.13714
641.74554,161.60047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09763,605.85576,1270.09783,1441.59341,1484.10818,1405.5142,1378.59887,1357.78645,1331.74335,1308.06255
1061.31728,243.53097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.13528,895.52651,1448.40758,1347.89992,1188.23151,1102.27694,1089.42897,978.2017,1032.17021,1066.01456
960.89125,265.93085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.56714,700.56446,1045.45318,1173.69896,1207.53102,1138.13816,1028.37786,843.58608,684.76469,568.67205
294.78364,85.10802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.49244,713.62978,1290.67899,1133.69201,995.69773,1033.37172,1030.30923,825.7082,531.03084,490.34649
347.99504,92.86199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.64984,916.60614,1331.31219,1300.57669,1304.12839,1281.95776,1250.39269,1225.62879,1217.58271,1153.06503
943.21251,282.42979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.17556,856.45379,1078.9268,860.72549,919.24517,932.17611,1016.27915,1059.31209,996.25491,629.06691
257.92685,56.86145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.75429,668.86119,1013.86228,934.28392,911.4263,1088.65436,1090.6671,1001.04501,897.29436,547.75496
220.56555,49.06009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.81315,134.38544,287.9846,504.52948,577.59745,603.11346,610.68582,513.8822,297.20216,168.17068
142.52966,34.7947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.16761,998.97303,1431.22508,1513.10975,1126.14257,1035.40754,918.61698,775.24711,948.96202,866.00129
969.62937,292.52331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.94935,977.2464,1269.24296,1203.88335,1152.74328,1093.23374,1016.6454,925.82317,866.08679,911.62451
964.87992,339.49501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.47478,1039.65335,1403.60672,1533.9815,1570.19071,1541.76137,1427.51045,1458.33635,1197.5815,1157.44243
1143.35404,308.62253,0.22512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.57645,1142.12819,1549.61901,1595.31048,1605.92606,1608.0101,1577.23868,1578.83904,1442.49056,1297.36459
1138.36365,355.924,0.95093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.43649,1130.0272,1460.8518,1463.4558,1490.22041,1397.0237,1226.5877,1135.45017,1136.53737,986.58375
627.64086,160.1199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.00617,990.9848,1351.63538,1418.51563,1355.87501,1321.8228,1362.34738,1353.19393,1285.92207,1255.45632
1039.17545,321.72359,1.59654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.41962,1160.49334,1538.65994,1594.73852,1581.15914,1575.99693,1552.97603,1579.53229,1515.99551,1400.3259
1179.47341,416.18172,3.15303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.69955,1175.9639,1517.60412,1566.47573,1565.34629,1543.94608,1548.28588,1554.27661,1555.07393,1523.05202
1269.82612,415.50758,2.94764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.00259,1197.60823,1518.54113,1560.71154,1556.10285,1470.624,1302.02369,1440.9394,1560.04668,1505.63123
1251.89134,419.14584,3.57053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.99995,1161.42445,1503.96028,1568.84967,1568.68099,1557.32043,1551.81672,1557.71149,1493.56179,1383.07678
1231.03266,400.29753,4.49968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.25038,1185.52249,1392.5616,1270.05905,1496.70794,1312.92456,1298.37186,1358.14644,1472.47619,1309.12742
1255.33828,447.79729,6.48918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.78094,1207.62745,1512.18549,1557.55169,1569.16229,1488.10684,1527.15725,1535.81263,1510.39139,1456.85237
