INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,71.15343
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,-1.95776
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,-1.85019
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,-1.80669
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,-1.80167
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,-1.83418
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,-1.81299
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,-1.81443
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,-1.80687
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,-1.80737
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,-1.81332
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,-1.85711
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,-1.94339
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,-1.86829
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,-1.97581
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,45.12313
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,252.89307
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,575.45987
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,597.79343
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,550.11833
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,544.51015
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,651.54342
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,622.56412
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,296.37692
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,42.3027
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,-1.95677
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,-1.81539
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,-1.77318
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,-1.74594
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,-1.76991
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,-1.81703
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,-1.78719
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,-1.78315
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,-1.78376
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,-1.80105
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,-1.80861
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,-1.8711
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,-1.77064
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,-1.85451
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,37.48502
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,389.85323
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,697.63494
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,766.96409
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,801.99924
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,806.09408
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,851.47967
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,862.65819
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,579.58792
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,88.0915
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,-1.76045
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,-1.821
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,-1.77069
2020-01-03T04:00:00-00:00,2020-01-03T05:00:00-00:00,-1.76432
2020-01-03T05:00:00-00:00,2020-01-03T06:00:00-00:00,-1.79107
2020-01-03T06:00:00-00:00,2020-01-03T07:00:00-00:00,-1.77681
2020-01-03T07:00:00-00:00,2020-01-03T08:00:00-00:00,-1.79034
2020-01-03T08:00:00-00:00,2020-01-03T09:00:00-00:00,-1.82236
2020-01-03T09:00:00-00:00,2020-01-03T10:00:00-00:00,-1.82836
2020-01-03T10:00:00-00:00,2020-01-03T11:00:00-00:00,-1.83989
2020-01-03T11:00:00-00:00,2020-01-03T12:00:00-00:00,-1.88246
2020-01-03T12:00:00-00:00,2020-01-03T13:00:00-00:00,-1.95687
2020-01-03T13:00:00-00:00,2020-01-03T14:00:00-00:00,-1.84882
2020-01-03T14:00:00-00:00,2020-01-03T15:00:00-00:00,-1.98619
2020-01-03T15:00:00-00:00,2020-01-03T16:00:00-00:00,34.60689
2020-01-03T16:00:00-00:00,2020-01-03T17:00:00-00:00,301.56191
2020-01-03T17:00:00-00:00,2020-01-03T18:00:00-00:00,546.10517
2020-01-03T18:00:00-00:00,2020-01-03T19:00:00-00:00,753.67033
2020-01-03T19:00:00-00:00,2020-01-03T20:00:00-00:00,846.67537
2020-01-03T20:00:00-00:00,2020-01-03T21:00:00-00:00,887.69107
2020-01-03T21:00:00-00:00,2020-01-03T22:00:00-00:00,893.17591
2020-01-03T22:00:00-00:00,2020-01-03T23:00:00-00:00,923.37351
2020-01-03T23:00:00-00:00,2020-01-04T00:00:00-00:00,627.47631
2020-01-04T00:00:00-00:00,2020-01-04T01:00:00-00:00,103.89699
2020-01-04T01:00:00-00:00,2020-01-04T02:00:00-00:00,-3.67022
2020-01-04T02:00:00-00:00,2020-01-04T03:00:00-00:00,-3.54313
