INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,430.74902
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,-3.3314
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,-2.66883
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,-2.74678
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,-2.657
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,-3.48719
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,-7.38998
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,-9.45964
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,-9.31302
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,-9.71795
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,-9.81347
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,-11.2479
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,-11.00194
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,-9.71451
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,1.57885
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,808.61876
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,3305.30462
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,4650.02509
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,4354.34106
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,4139.00144
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,3686.74681
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,3229.18939
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,3854.6081
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,2263.99192
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,457.92625
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,4.32084
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,-2.30247
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,-2.33626
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,-2.36936
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,-2.60688
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,-6.72298
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,-8.8866
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,-9.76318
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,-9.63603
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,-9.9155
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,-11.31633
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,-11.96135
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,-11.37484
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,-3.83602
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,984.10907
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,3552.67396
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,4968.83513
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,4759.07396
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,4981.05289
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,4633.69248
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,4550.08032
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,3950.91446
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,2439.41184
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,397.83205
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,-4.93481
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,-3.96269
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,-4.22006
