INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,105.25136
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,-4.92295
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,-4.70073
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,-4.73217
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,-4.72124
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,-4.74088
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,-4.74464
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,-4.72872
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,-4.73984
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,-4.75892
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,-4.77099
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,-4.79373
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,-4.85282
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,-4.82816
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,-4.90784
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,92.46898
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,652.59489
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,942.22203
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,1170.86057
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,1265.96687
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,1232.02423
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,1168.64435
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,1075.33311
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,600.65835
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,105.28779
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,-4.85294
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,-4.70053
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,-4.68626
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,-4.69277
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,-4.68881
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,-4.72493
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,-4.73557
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,-4.7328
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,-4.74856
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,-4.72337
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,-4.739
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,-4.7389
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,-4.73652
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,-4.87284
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,44.66784
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,384.53542
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,695.0273
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,858.44144
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,1002.92572
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,1061.56301
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,1078.16401
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,929.70659
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,547.04142
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,114.80427
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,-5.68628
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,-5.68804
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,-5.66087
2020-01-03T04:00:00-00:00,2020-01-03T05:00:00-00:00,-5.69013
2020-01-03T05:00:00-00:00,2020-01-03T06:00:00-00:00,-5.6901
2020-01-03T06:00:00-00:00,2020-01-03T07:00:00-00:00,-5.7321
2020-01-03T07:00:00-00:00,2020-01-03T08:00:00-00:00,-5.73143
2020-01-03T08:00:00-00:00,2020-01-03T09:00:00-00:00,-5.71993
2020-01-03T09:00:00-00:00,2020-01-03T10:00:00-00:00,-5.73538
2020-01-03T10:00:00-00:00,2020-01-03T11:00:00-00:00,-6.58344
2020-01-03T11:00:00-00:00,2020-01-03T12:00:00-00:00,-5.77099
2020-01-03T12:00:00-00:00,2020-01-03T13:00:00-00:00,-5.72079
2020-01-03T13:00:00-00:00,2020-01-03T14:00:00-00:00,-5.80593
2020-01-03T14:00:00-00:00,2020-01-03T15:00:00-00:00,-5.8603
2020-01-03T15:00:00-00:00,2020-01-03T16:00:00-00:00,76.33039
2020-01-03T16:00:00-00:00,2020-01-03T17:00:00-00:00,592.65608
2020-01-03T17:00:00-00:00,2020-01-03T18:00:00-00:00,1082.03524
2020-01-03T18:00:00-00:00,2020-01-03T19:00:00-00:00,1250.71829
2020-01-03T19:00:00-00:00,2020-01-03T20:00:00-00:00,1313.81295
2020-01-03T20:00:00-00:00,2020-01-03T21:00:00-00:00,1326.67702
2020-01-03T21:00:00-00:00,2020-01-03T22:00:00-00:00,1343.14526
2020-01-03T22:00:00-00:00,2020-01-03T23:00:00-00:00,1241.42567
2020-01-03T23:00:00-00:00,2020-01-04T00:00:00-00:00,737.36245
2020-01-04T00:00:00-00:00,2020-01-04T01:00:00-00:00,159.08115
2020-01-04T01:00:00-00:00,2020-01-04T02:00:00-00:00,-5.92615
2020-01-04T02:00:00-00:00,2020-01-04T03:00:00-00:00,-5.67791
2020-01-04T03:00:00-00:00,2020-01-04T04:00:00-00:00,-5.67577
2020-01-04T04:00:00-00:00,2020-01-04T05:00:00-00:00,-5.65869
2020-01-04T05:00:00-00:00,2020-01-04T06:00:00-00:00,-5.67353
2020-01-04T06:00:00-00:00,2020-01-04T07:00:00-00:00,-5.71162
2020-01-04T07:00:00-00:00,2020-01-04T08:00:00-00:00,-5.70757
2020-01-04T08:00:00-00:00,2020-01-04T09:00:00-00:00,-5.72612
2020-01-04T09:00:00-00:00,2020-01-04T10:00:00-00:00,-5.73522
2020-01-04T10:00:00-00:00,2020-01-04T11:00:00-00:00,-6.55483
2020-01-04T11:00:00-00:00,2020-01-04T12:00:00-00:00,-5.75273
2020-01-04T12:00:00-00:00,2020-01-04T13:00:00-00:00,-5.72229
2020-01-04T13:00:00-00:00,2020-01-04T14:00:00-00:00,-5.66468
2020-01-04T14:00:00-00:00,2020-01-04T15:00:00-00:00,-4.86368
2020-01-04T15:00:00-00:00,2020-01-04T16:00:00-00:00,97.07839
