INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,-6.46479
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,-4.11183
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,3.51429
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,29.07873
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,36.75926
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,26.28049
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,62.44826
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,93.90204
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,54.864
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,82.90581
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,125.18602
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,89.79302
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,89.68095
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,117.30631
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,110.22992
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,125.54103
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,172.96382
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,217.39675
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,126.01346
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,180.16024
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,372.13464
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,321.45232
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,250.73579
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,227.15363
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,122.46493
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,137.95582
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,79.04717
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,135.61968
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,99.83657
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,86.79234
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,191.52263
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,282.15144
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,346.54191
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,138.55117
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,10.96388
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,18.09513
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,16.15864
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,88.49294
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,165.85431
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,156.64762
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,175.54364
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,53.05806
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,18.83206
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,19.67843
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,15.84737
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,12.68974
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,7.82251
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,2.81629
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,5.86462
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,8.73518
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,3.65885
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,-0.76643
2020-01-03T04:00:00-00:00,2020-01-03T05:00:00-00:00,-2.82009
2020-01-03T05:00:00-00:00,2020-01-03T06:00:00-00:00,7.36584
2020-01-03T06:00:00-00:00,2020-01-03T07:00:00-00:00,13.29879
2020-01-03T07:00:00-00:00,2020-01-03T08:00:00-00:00,10.17394
2020-01-03T08:00:00-00:00,2020-01-03T09:00:00-00:00,19.68425
2020-01-03T09:00:00-00:00,2020-01-03T10:00:00-00:00,32.48242
2020-01-03T10:00:00-00:00,2020-01-03T11:00:00-00:00,29.72566
2020-01-03T11:00:00-00:00,2020-01-03T12:00:00-00:00,13.63369
2020-01-03T12:00:00-00:00,2020-01-03T13:00:00-00:00,-5.96705
2020-01-03T13:00:00-00:00,2020-01-03T14:00:00-00:00,1.26218
2020-01-03T14:00:00-00:00,2020-01-03T15:00:00-00:00,-4.50236
2020-01-03T15:00:00-00:00,2020-01-03T16:00:00-00:00,13.59715
2020-01-03T16:00:00-00:00,2020-01-03T17:00:00-00:00,45.15749
2020-01-03T17:00:00-00:00,2020-01-03T18:00:00-00:00,47.46578
2020-01-03T18:00:00-00:00,2020-01-03T19:00:00-00:00,42.492
2020-01-03T19:00:00-00:00,2020-01-03T20:00:00-00:00,53.18759
2020-01-03T20:00:00-00:00,2020-01-03T21:00:00-00:00,42.81393
2020-01-03T21:00:00-00:00,2020-01-03T22:00:00-00:00,50.54622
2020-01-03T22:00:00-00:00,2020-01-03T23:00:00-00:00,80.30401
2020-01-03T23:00:00-00:00,2020-01-04T00:00:00-00:00,90.60727
2020-01-04T00:00:00-00:00,2020-01-04T01:00:00-00:00,92.91186
2020-01-04T01:00:00-00:00,2020-01-04T02:00:00-00:00,98.50214
2020-01-04T02:00:00-00:00,2020-01-04T03:00:00-00:00,92.18384
2020-01-04T03:00:00-00:00,2020-01-04T04:00:00-00:00,111.79666
2020-01-04T04:00:00-00:00,2020-01-04T05:00:00-00:00,114.93791
2020-01-04T05:00:00-00:00,2020-01-04T06:00:00-00:00,108.56825
2020-01-04T06:00:00-00:00,2020-01-04T07:00:00-00:00,121.31535
2020-01-04T07:00:00-00:00,2020-01-04T08:00:00-00:00,107.68511
2020-01-04T08:00:00-00:00,2020-01-04T09:00:00-00:00,142.49948
2020-01-04T09:00:00-00:00,2020-01-04T10:00:00-00:00,201.73289
2020-01-04T10:00:00-00:00,2020-01-04T11:00:00-00:00,218.20745
2020-01-04T11:00:00-00:00,2020-01-04T12:00:00-00:00,207.79631
2020-01-04T12:00:00-00:00,2020-01-04T13:00:00-00:00,205.79183
2020-01-04T13:00:00-00:00,2020-01-04T14:00:00-00:00,225.41558
2020-01-04T14:00:00-00:00,2020-01-04T15:00:00-00:00,222.00183
2020-01-04T15:00:00-00:00,2020-01-04T16:00:00-00:00,248.58972
2020-01-04T16:00:00-00:00,2020-01-04T17:00:00-00:00,121.77828
2020-01-04T17:00:00-00:00,2020-01-04T18:00:00-00:00,28.46349
2020-01-04T18:00:00-00:00,2020-01-04T19:00:00-00:00,5.93789
2020-01-04T19:00:00-00:00,2020-01-04T20:00:00-00:00,0.91048
2020-01-04T20:00:00-00:00,2020-01-04T21:00:00-00:00,18.13739
2020-01-04T21:00:00-00:00,2020-01-04T22:00:00-00:00,64.13704
2020-01-04T22:00:00-00:00,2020-01-04T23:00:00-00:00,56.36742
2020-01-04T23:00:00-00:00,2020-01-05T00:00:00-00:00,35.10483
2020-01-05T00:00:00-00:00,2020-01-05T01:00:00-00:00,20.63851
2020-01-05T01:00:00-00:00,2020-01-05T02:00:00-00:00,28.7763
2020-01-05T02:00:00-00:00,2020-01-05T03:00:00-00:00,7.2401
2020-01-05T03:00:00-00:00,2020-01-05T04:00:00-00:00,-5.55459
2020-01-05T04:00:00-00:00,2020-01-05T05:00:00-00:00,-7.22381
2020-01-05T05:00:00-00:00,2020-01-05T06:00:00-00:00,6.91137
2020-01-05T06:00:00-00:00,2020-01-05T07:00:00-00:00,72.08247
2020-01-05T07:00:00-00:00,2020-01-05T08:00:00-00:00,168.19178
2020-01-05T08:00:00-00:00,2020-01-05T09:00:00-00:00,318.56159
2020-01-05T09:00:00-00:00,2020-01-05T10:00:00-00:00,465.7567
2020-01-05T10:00:00-00:00,2020-01-05T11:00:00-00:00,432.1536
2020-01-05T11:00:00-00:00,2020-01-05T12:00:00-00:00,371.8025
2020-01-05T12:00:00-00:00,2020-01-05T13:00:00-00:00,254.08065
2020-01-05T13:00:00-00:00,2020-01-05T14:00:00-00:00,146.41813
2020-01-05T14:00:00-00:00,2020-01-05T15:00:00-00:00,144.69706
2020-01-05T15:00:00-00:00,2020-01-05T16:00:00-00:00,159.62547
2020-01-05T16:00:00-00:00,2020-01-05T17:00:00-00:00,303.54728
2020-01-05T17:00:00-00:00,2020-01-05T18:00:00-00:00,226.14912
2020-01-05T18:00:00-00:00,2020-01-05T19:00:00-00:00,266.13357
2020-01-05T19:00:00-00:00,2020-01-05T20:00:00-00:00,329.59834
2020-01-05T20:00:00-00:00,2020-01-05T21:00:00-00:00,269.43875
2020-01-05T21:00:00-00:00,2020-01-05T22:00:00-00:00,275.96622
2020-01-05T22:00:00-00:00,2020-01-05T23:00:00-00:00,145.22162
2020-01-05T23:00:00-00:00,2020-01-06T00:00:00-00:00,102.85911
2020-01-06T00:00:00-00:00,2020-01-06T01:00:00-00:00,97.41903
2020-01-06T01:00:00-00:00,2020-01-06T02:00:00-00:00,42.14819
2020-01-06T02:00:00-00:00,2020-01-06T03:00:00-00:00,40.39963
2020-01-06T03:00:00-00:00,2020-01-06T04:00:00-00:00,125.85194
2020-01-06T04:00:00-00:00,2020-01-06T05:00:00-00:00,126.36883
2020-01-06T05:00:00-00:00,2020-01-06T06:00:00-00:00,131.41292
2020-01-06T06:00:00-00:00,2020-01-06T07:00:00-00:00,122.86862
2020-01-06T07:00:00-00:00,2020-01-06T08:00:00-00:00,164.39109
2020-01-06T08:00:00-00:00,2020-01-06T09:00:00-00:00,161.91388
2020-01-06T09:00:00-00:00,2020-01-06T10:00:00-00:00,105.12865
2020-01-06T10:00:00-00:00,2020-01-06T11:00:00-00:00,60.06292
2020-01-06T11:00:00-00:00,2020-01-06T12:00:00-00:00,46.04998
2020-01-06T12:00:00-00:00,2020-01-06T13:00:00-00:00,26.92779
2020-01-06T13:00:00-00:00,2020-01-06T14:00:00-00:00,12.59313
2020-01-06T14:00:00-00:00,2020-01-06T15:00:00-00:00,14.26166
2020-01-06T15:00:00-00:00,2020-01-06T16:00:00-00:00,7.63308
2020-01-06T16:00:00-00:00,2020-01-06T17:00:00-00:00,10.14158
2020-01-06T17:00:00-00:00,2020-01-06T18:00:00-00:00,3.93378
2020-01-06T18:00:00-00:00,2020-01-06T19:00:00-00:00,5.65272
2020-01-06T19:00:00-00:00,2020-01-06T20:00:00-00:00,5.06809
2020-01-06T20:00:00-00:00,2020-01-06T21:00:00-00:00,6.16603
2020-01-06T21:00:00-00:00,2020-01-06T22:00:00-00:00,2.63197
2020-01-06T22:00:00-00:00,2020-01-06T23:00:00-00:00,-2.83076
2020-01-06T23:00:00-00:00,2020-01-07T00:00:00-00:00,-6.598
2020-01-07T00:00:00-00:00,2020-01-07T01:00:00-00:00,-5.84415
2020-01-07T01:00:00-00:00,2020-01-07T02:00:00-00:00,5.6229
2020-01-07T02:00:00-00:00,2020-01-07T03:00:00-00:00,3.70561
2020-01-07T03:00:00-00:00,2020-01-07T04:00:00-00:00,-1.85123
2020-01-07T04:00:00-00:00,2020-01-07T05:00:00-00:00,-1.4396
2020-01-07T05:00:00-00:00,2020-01-07T06:00:00-00:00,-3.34871
2020-01-07T06:00:00-00:00,2020-01-07T07:00:00-00:00,-6.65713
2020-01-07T07:00:00-00:00,2020-01-07T08:00:00-00:00,-4.55029
2020-01-07T08:00:00-00:00,2020-01-07T09:00:00-00:00,-1.25237
2020-01-07T09:00:00-00:00,2020-01-07T10:00:00-00:00,-1.69983
2020-01-07T10:00:00-00:00,2020-01-07T11:00:00-00:00,4.43194
2020-01-07T11:00:00-00:00,2020-01-07T12:00:00-00:00,15.5724
2020-01-07T12:00:00-00:00,2020-01-07T13:00:00-00:00,23.56715
2020-01-07T13:00:00-00:00,2020-01-07T14:00:00-00:00,33.91161
2020-01-07T14:00:00-00:00,2020-01-07T15:00:00-00:00,55.10183
2020-01-07T15:00:00-00:00,2020-01-07T16:00:00-00:00,55.59214
2020-01-07T16:00:00-00:00,2020-01-07T17:00:00-00:00,55.5692
2020-01-07T17:00:00-00:00,2020-01-07T18:00:00-00:00,46.94886
2020-01-07T18:00:00-00:00,2020-01-07T19:00:00-00:00,55.25378
2020-01-07T19:00:00-00:00,2020-01-07T20:00:00-00:00,65.84422
2020-01-07T20:00:00-00:00,2020-01-07T21:00:00-00:00,67.36019
2020-01-07T21:00:00-00:00,2020-01-07T22:00:00-00:00,71.51228
2020-01-07T22:00:00-00:00,2020-01-07T23:00:00-00:00,81.59252
2020-01-07T23:00:00-00:00,2020-01-08T00:00:00-00:00,95.7876
2020-01-08T00:00:00-00:00,2020-01-08T01:00:00-00:00,165.31895
2020-01-08T01:00:00-00:00,2020-01-08T02:00:00-00:00,387.54217
2020-01-08T02:00:00-00:00,2020-01-08T03:00:00-00:00,778.7665
2020-01-08T03:00:00-00:00,2020-01-08T04:00:00-00:00,1021.26927
2020-01-08T04:00:00-00:00,2020-01-08T05:00:00-00:00,909.36392
2020-01-08T05:00:00-00:00,2020-01-08T06:00:00-00:00,719.51981
2020-01-08T06:00:00-00:00,2020-01-08T07:00:00-00:00,521.6136
2020-01-08T07:00:00-00:00,2020-01-08T08:00:00-00:00,164.74835
2020-01-08T08:00:00-00:00,2020-01-08T09:00:00-00:00,110.75911
2020-01-08T09:00:00-00:00,2020-01-08T10:00:00-00:00,118.56856
2020-01-08T10:00:00-00:00,2020-01-08T11:00:00-00:00,133.98822
2020-01-08T11:00:00-00:00,2020-01-08T12:00:00-00:00,124.65226
2020-01-08T12:00:00-00:00,2020-01-08T13:00:00-00:00,87.7158
2020-01-08T13:00:00-00:00,2020-01-08T14:00:00-00:00,83.56585
2020-01-08T14:00:00-00:00,2020-01-08T15:00:00-00:00,46.31572
2020-01-08T15:00:00-00:00,2020-01-08T16:00:00-00:00,27.3337
2020-01-08T16:00:00-00:00,2020-01-08T17:00:00-00:00,35.73588
2020-01-08T17:00:00-00:00,2020-01-08T18:00:00-00:00,43.5188
2020-01-08T18:00:00-00:00,2020-01-08T19:00:00-00:00,70.91549
2020-01-08T19:00:00-00:00,2020-01-08T20:00:00-00:00,61.53674
2020-01-08T20:00:00-00:00,2020-01-08T21:00:00-00:00,78.89922
2020-01-08T21:00:00-00:00,2020-01-08T22:00:00-00:00,86.03098
2020-01-08T22:00:00-00:00,2020-01-08T23:00:00-00:00,90.99404
2020-01-08T23:00:00-00:00,2020-01-09T00:00:00-00:00,100.34409
2020-01-09T00:00:00-00:00,2020-01-09T01:00:00-00:00,144.11864
