INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,MW
2020-01-01T00:00:00-00:00,2020-01-01T01:00:00-00:00,166.20572
2020-01-01T01:00:00-00:00,2020-01-01T02:00:00-00:00,128.0174
2020-01-01T02:00:00-00:00,2020-01-01T03:00:00-00:00,170.40771
2020-01-01T03:00:00-00:00,2020-01-01T04:00:00-00:00,207.91925
2020-01-01T04:00:00-00:00,2020-01-01T05:00:00-00:00,124.93185
2020-01-01T05:00:00-00:00,2020-01-01T06:00:00-00:00,79.46157
2020-01-01T06:00:00-00:00,2020-01-01T07:00:00-00:00,77.19859
2020-01-01T07:00:00-00:00,2020-01-01T08:00:00-00:00,109.83242
2020-01-01T08:00:00-00:00,2020-01-01T09:00:00-00:00,86.92093
2020-01-01T09:00:00-00:00,2020-01-01T10:00:00-00:00,243.11065
2020-01-01T10:00:00-00:00,2020-01-01T11:00:00-00:00,219.39329
2020-01-01T11:00:00-00:00,2020-01-01T12:00:00-00:00,174.26806
2020-01-01T12:00:00-00:00,2020-01-01T13:00:00-00:00,505.56348
2020-01-01T13:00:00-00:00,2020-01-01T14:00:00-00:00,255.28144
2020-01-01T14:00:00-00:00,2020-01-01T15:00:00-00:00,321.63629
2020-01-01T15:00:00-00:00,2020-01-01T16:00:00-00:00,194.50846
2020-01-01T16:00:00-00:00,2020-01-01T17:00:00-00:00,484.0622
2020-01-01T17:00:00-00:00,2020-01-01T18:00:00-00:00,476.74637
2020-01-01T18:00:00-00:00,2020-01-01T19:00:00-00:00,904.09248
2020-01-01T19:00:00-00:00,2020-01-01T20:00:00-00:00,996.7319
2020-01-01T20:00:00-00:00,2020-01-01T21:00:00-00:00,1623.43657
2020-01-01T21:00:00-00:00,2020-01-01T22:00:00-00:00,1861.57581
2020-01-01T22:00:00-00:00,2020-01-01T23:00:00-00:00,1941.0358
2020-01-01T23:00:00-00:00,2020-01-02T00:00:00-00:00,2187.9644
2020-01-02T00:00:00-00:00,2020-01-02T01:00:00-00:00,2101.23836
2020-01-02T01:00:00-00:00,2020-01-02T02:00:00-00:00,2056.07252
2020-01-02T02:00:00-00:00,2020-01-02T03:00:00-00:00,1964.62239
2020-01-02T03:00:00-00:00,2020-01-02T04:00:00-00:00,2091.69671
2020-01-02T04:00:00-00:00,2020-01-02T05:00:00-00:00,1976.89882
2020-01-02T05:00:00-00:00,2020-01-02T06:00:00-00:00,2278.79733
2020-01-02T06:00:00-00:00,2020-01-02T07:00:00-00:00,2502.75423
2020-01-02T07:00:00-00:00,2020-01-02T08:00:00-00:00,2582.30449
2020-01-02T08:00:00-00:00,2020-01-02T09:00:00-00:00,2525.31974
2020-01-02T09:00:00-00:00,2020-01-02T10:00:00-00:00,2044.51071
2020-01-02T10:00:00-00:00,2020-01-02T11:00:00-00:00,1920.50479
2020-01-02T11:00:00-00:00,2020-01-02T12:00:00-00:00,2099.53843
2020-01-02T12:00:00-00:00,2020-01-02T13:00:00-00:00,2034.34297
2020-01-02T13:00:00-00:00,2020-01-02T14:00:00-00:00,2193.45308
2020-01-02T14:00:00-00:00,2020-01-02T15:00:00-00:00,2216.37169
2020-01-02T15:00:00-00:00,2020-01-02T16:00:00-00:00,1508.94914
2020-01-02T16:00:00-00:00,2020-01-02T17:00:00-00:00,790.59763
2020-01-02T17:00:00-00:00,2020-01-02T18:00:00-00:00,324.86559
2020-01-02T18:00:00-00:00,2020-01-02T19:00:00-00:00,357.45062
2020-01-02T19:00:00-00:00,2020-01-02T20:00:00-00:00,395.13902
2020-01-02T20:00:00-00:00,2020-01-02T21:00:00-00:00,331.37287
2020-01-02T21:00:00-00:00,2020-01-02T22:00:00-00:00,188.29801
2020-01-02T22:00:00-00:00,2020-01-02T23:00:00-00:00,128.23789
2020-01-02T23:00:00-00:00,2020-01-03T00:00:00-00:00,91.42033
2020-01-03T00:00:00-00:00,2020-01-03T01:00:00-00:00,117.21161
2020-01-03T01:00:00-00:00,2020-01-03T02:00:00-00:00,167.22576
2020-01-03T02:00:00-00:00,2020-01-03T03:00:00-00:00,168.35902
2020-01-03T03:00:00-00:00,2020-01-03T04:00:00-00:00,114.28571
2020-01-03T04:00:00-00:00,2020-01-03T05:00:00-00:00,109.05907
2020-01-03T05:00:00-00:00,2020-01-03T06:00:00-00:00,174.33863
2020-01-03T06:00:00-00:00,2020-01-03T07:00:00-00:00,135.78433
2020-01-03T07:00:00-00:00,2020-01-03T08:00:00-00:00,164.53378
2020-01-03T08:00:00-00:00,2020-01-03T09:00:00-00:00,158.0843
2020-01-03T09:00:00-00:00,2020-01-03T10:00:00-00:00,153.61385
2020-01-03T10:00:00-00:00,2020-01-03T11:00:00-00:00,152.68258
2020-01-03T11:00:00-00:00,2020-01-03T12:00:00-00:00,148.81255
2020-01-03T12:00:00-00:00,2020-01-03T13:00:00-00:00,172.63532
2020-01-03T13:00:00-00:00,2020-01-03T14:00:00-00:00,228.13728
2020-01-03T14:00:00-00:00,2020-01-03T15:00:00-00:00,215.74414
2020-01-03T15:00:00-00:00,2020-01-03T16:00:00-00:00,208.7446
2020-01-03T16:00:00-00:00,2020-01-03T17:00:00-00:00,177.14584
2020-01-03T17:00:00-00:00,2020-01-03T18:00:00-00:00,156.13551
2020-01-03T18:00:00-00:00,2020-01-03T19:00:00-00:00,159.13475
2020-01-03T19:00:00-00:00,2020-01-03T20:00:00-00:00,139.65877
2020-01-03T20:00:00-00:00,2020-01-03T21:00:00-00:00,138.31035
2020-01-03T21:00:00-00:00,2020-01-03T22:00:00-00:00,100.10926
2020-01-03T22:00:00-00:00,2020-01-03T23:00:00-00:00,84.02944
2020-01-03T23:00:00-00:00,2020-01-04T00:00:00-00:00,78.49809
2020-01-04T00:00:00-00:00,2020-01-04T01:00:00-00:00,64.35759
2020-01-04T01:00:00-00:00,2020-01-04T02:00:00-00:00,64.82609
2020-01-04T02:00:00-00:00,2020-01-04T03:00:00-00:00,85.15717
2020-01-04T03:00:00-00:00,2020-01-04T04:00:00-00:00,79.5535
2020-01-04T04:00:00-00:00,2020-01-04T05:00:00-00:00,81.97665
2020-01-04T05:00:00-00:00,2020-01-04T06:00:00-00:00,88.7817
2020-01-04T06:00:00-00:00,2020-01-04T07:00:00-00:00,77.88399
2020-01-04T07:00:00-00:00,2020-01-04T08:00:00-00:00,89.13292
2020-01-04T08:00:00-00:00,2020-01-04T09:00:00-00:00,136.70079
2020-01-04T09:00:00-00:00,2020-01-04T10:00:00-00:00,243.18219
2020-01-04T10:00:00-00:00,2020-01-04T11:00:00-00:00,177.77593
2020-01-04T11:00:00-00:00,2020-01-04T12:00:00-00:00,167.80371
2020-01-04T12:00:00-00:00,2020-01-04T13:00:00-00:00,263.74523
2020-01-04T13:00:00-00:00,2020-01-04T14:00:00-00:00,375.57744
2020-01-04T14:00:00-00:00,2020-01-04T15:00:00-00:00,795.59435
2020-01-04T15:00:00-00:00,2020-01-04T16:00:00-00:00,946.37227
2020-01-04T16:00:00-00:00,2020-01-04T17:00:00-00:00,1199.3831
2020-01-04T17:00:00-00:00,2020-01-04T18:00:00-00:00,1243.89709
2020-01-04T18:00:00-00:00,2020-01-04T19:00:00-00:00,1101.69352
2020-01-04T19:00:00-00:00,2020-01-04T20:00:00-00:00,1046.72696
2020-01-04T20:00:00-00:00,2020-01-04T21:00:00-00:00,1155.54806
2020-01-04T21:00:00-00:00,2020-01-04T22:00:00-00:00,1283.74959
2020-01-04T22:00:00-00:00,2020-01-04T23:00:00-00:00,1330.56191
2020-01-04T23:00:00-00:00,2020-01-05T00:00:00-00:00,1239.67766
2020-01-05T00:00:00-00:00,2020-01-05T01:00:00-00:00,1465.15819
2020-01-05T01:00:00-00:00,2020-01-05T02:00:00-00:00,1468.34533
2020-01-05T02:00:00-00:00,2020-01-05T03:00:00-00:00,1463.87169
2020-01-05T03:00:00-00:00,2020-01-05T04:00:00-00:00,1435.56471
2020-01-05T04:00:00-00:00,2020-01-05T05:00:00-00:00,1217.33942
2020-01-05T05:00:00-00:00,2020-01-05T06:00:00-00:00,945.16795
2020-01-05T06:00:00-00:00,2020-01-05T07:00:00-00:00,566.98778
2020-01-05T07:00:00-00:00,2020-01-05T08:00:00-00:00,533.74179
2020-01-05T08:00:00-00:00,2020-01-05T09:00:00-00:00,651.9633
2020-01-05T09:00:00-00:00,2020-01-05T10:00:00-00:00,856.31498
2020-01-05T10:00:00-00:00,2020-01-05T11:00:00-00:00,1304.05674
2020-01-05T11:00:00-00:00,2020-01-05T12:00:00-00:00,1235.07314
2020-01-05T12:00:00-00:00,2020-01-05T13:00:00-00:00,1236.06425
2020-01-05T13:00:00-00:00,2020-01-05T14:00:00-00:00,1724.84854
2020-01-05T14:00:00-00:00,2020-01-05T15:00:00-00:00,2138.72974
2020-01-05T15:00:00-00:00,2020-01-05T16:00:00-00:00,2062.92442
2020-01-05T16:00:00-00:00,2020-01-05T17:00:00-00:00,2122.98604
2020-01-05T17:00:00-00:00,2020-01-05T18:00:00-00:00,1848.55717
2020-01-05T18:00:00-00:00,2020-01-05T19:00:00-00:00,1865.33013
2020-01-05T19:00:00-00:00,2020-01-05T20:00:00-00:00,1878.53129
2020-01-05T20:00:00-00:00,2020-01-05T21:00:00-00:00,1950.20663
2020-01-05T21:00:00-00:00,2020-01-05T22:00:00-00:00,2006.68337
2020-01-05T22:00:00-00:00,2020-01-05T23:00:00-00:00,2055.22786
2020-01-05T23:00:00-00:00,2020-01-06T00:00:00-00:00,2328.83932
2020-01-06T00:00:00-00:00,2020-01-06T01:00:00-00:00,2306.88237
2020-01-06T01:00:00-00:00,2020-01-06T02:00:00-00:00,2150.89752
2020-01-06T02:00:00-00:00,2020-01-06T03:00:00-00:00,1358.57471
2020-01-06T03:00:00-00:00,2020-01-06T04:00:00-00:00,675.58862
2020-01-06T04:00:00-00:00,2020-01-06T05:00:00-00:00,473.20905
2020-01-06T05:00:00-00:00,2020-01-06T06:00:00-00:00,360.4209
2020-01-06T06:00:00-00:00,2020-01-06T07:00:00-00:00,360.12054
2020-01-06T07:00:00-00:00,2020-01-06T08:00:00-00:00,345.00781
2020-01-06T08:00:00-00:00,2020-01-06T09:00:00-00:00,345.36875
2020-01-06T09:00:00-00:00,2020-01-06T10:00:00-00:00,385.15748
2020-01-06T10:00:00-00:00,2020-01-06T11:00:00-00:00,449.39573
2020-01-06T11:00:00-00:00,2020-01-06T12:00:00-00:00,491.76433
2020-01-06T12:00:00-00:00,2020-01-06T13:00:00-00:00,454.00048
2020-01-06T13:00:00-00:00,2020-01-06T14:00:00-00:00,452.56049
2020-01-06T14:00:00-00:00,2020-01-06T15:00:00-00:00,431.2165
2020-01-06T15:00:00-00:00,2020-01-06T16:00:00-00:00,396.85892
2020-01-06T16:00:00-00:00,2020-01-06T17:00:00-00:00,394.7375
2020-01-06T17:00:00-00:00,2020-01-06T18:00:00-00:00,435.06843
2020-01-06T18:00:00-00:00,2020-01-06T19:00:00-00:00,371.65617
2020-01-06T19:00:00-00:00,2020-01-06T20:00:00-00:00,292.58776
2020-01-06T20:00:00-00:00,2020-01-06T21:00:00-00:00,364.71546
2020-01-06T21:00:00-00:00,2020-01-06T22:00:00-00:00,229.31171
2020-01-06T22:00:00-00:00,2020-01-06T23:00:00-00:00,238.91083
2020-01-06T23:00:00-00:00,2020-01-07T00:00:00-00:00,204.48898
2020-01-07T00:00:00-00:00,2020-01-07T01:00:00-00:00,197.14204
2020-01-07T01:00:00-00:00,2020-01-07T02:00:00-00:00,216.65342
2020-01-07T02:00:00-00:00,2020-01-07T03:00:00-00:00,226.67193
2020-01-07T03:00:00-00:00,2020-01-07T04:00:00-00:00,199.84032
2020-01-07T04:00:00-00:00,2020-01-07T05:00:00-00:00,217.931
2020-01-07T05:00:00-00:00,2020-01-07T06:00:00-00:00,227.87516
2020-01-07T06:00:00-00:00,2020-01-07T07:00:00-00:00,227.00345
2020-01-07T07:00:00-00:00,2020-01-07T08:00:00-00:00,249.22711
2020-01-07T08:00:00-00:00,2020-01-07T09:00:00-00:00,246.86388
2020-01-07T09:00:00-00:00,2020-01-07T10:00:00-00:00,223.92172
2020-01-07T10:00:00-00:00,2020-01-07T11:00:00-00:00,219.65483
2020-01-07T11:00:00-00:00,2020-01-07T12:00:00-00:00,207.8675
2020-01-07T12:00:00-00:00,2020-01-07T13:00:00-00:00,196.51746
2020-01-07T13:00:00-00:00,2020-01-07T14:00:00-00:00,193.02033
2020-01-07T14:00:00-00:00,2020-01-07T15:00:00-00:00,193.71462
