x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,3.51429,29.07873,36.75926,26.28049,62.44826,93.90204,54.864,82.90581,125.18602,89.79302,89.68095,117.30631,110.22992,125.54103,172.96382,217.39675,126.01346,180.16024,372.13464,321.45232,250.73579,227.15363
122.46493,137.95582,79.04717,135.61968,99.83657,86.79234,191.52263,282.15144,346.54191,138.55117,10.96388,18.09513,16.15864,88.49294,165.85431,156.64762,175.54364,53.05806,18.83206,19.67843,15.84737,12.68974,7.82251,2.81629
5.86462,8.73518,3.65885,0.0,0.0,7.36584,13.29879,10.17394,19.68425,32.48242,29.72566,13.63369,0.0,1.26218,0.0,13.59715,45.15749,47.46578,42.492,53.18759,42.81393,50.54622,80.30401,90.60727
92.91186,98.50214,92.18384,111.79666,114.93791,108.56825,121.31535,107.68511,142.49948,201.73289,218.20745,207.79631,205.79183,225.41558,222.00183,248.58972,121.77828,28.46349,5.93789,0.91048,18.13739,64.13704,56.36742,35.10483
20.63851,28.7763,7.2401,0.0,0.0,6.91137,72.08247,168.19178,318.56159,465.7567,432.1536,371.8025,254.08065,146.41813,144.69706,159.62547,303.54728,226.14912,266.13357,329.59834,269.43875,275.96622,145.22162,102.85911
97.41903,42.14819,40.39963,125.85194,126.36883,131.41292,122.86862,164.39109,161.91388,105.12865,60.06292,46.04998,26.92779,12.59313,14.26166,7.63308,10.14158,3.93378,5.65272,5.06809,6.16603,2.63197,0.0,0.0
0.0,5.6229,3.70561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43194,15.5724,23.56715,33.91161,55.10183,55.59214,55.5692,46.94886,55.25378,65.84422,67.36019,71.51228,81.59252,95.7876
165.31895,387.54217,778.7665,1021.26927,909.36392,719.51981,521.6136,164.74835,110.75911,118.56856,133.98822,124.65226,87.7158,83.56585,46.31572,27.3337,35.73588,43.5188,70.91549,61.53674,78.89922,86.03098,90.99404,100.34409
144.11864,256.45906,258.02051,260.38855,280.3115,361.27168,387.45017,366.44309,274.86019,167.42211,116.08192,202.38852,261.18375,151.27459,251.48337,178.50472,123.81592,74.55738,63.22766,68.57666,35.37101,67.04325,135.52186,123.19198
61.44741,50.88311,79.94078,73.21489,74.47084,103.2987,252.45471,192.58402,159.78519,60.02853,23.30985,3.55234,0.0,0.0,0.0,0.0,4.36164,37.68959,39.09529,51.35113,75.06439,92.68578,88.85355,93.02576
96.66473,139.05216,163.92858,243.20508,402.37462,475.65356,388.10951,288.3067,316.80666,357.17772,320.24435,206.22093,105.2144,188.14609,243.35821,421.33545,381.46943,424.08081,439.15655,401.86032,475.9468,421.6684,365.01496,259.64771
145.9494,119.52093,152.17988,147.34268,90.36309,163.52123,362.5051,353.5971,312.69642,350.94082,329.31314,280.9603,357.54409,331.23089,352.61761,412.11856,326.20792,265.87904,257.52755,303.26005,245.5582,278.11963,259.64403,191.25391
200.63001,428.76567,597.3723,630.51405,684.5448,609.14473,520.38288,301.63178,167.26947,246.57984,326.03543,343.64905,377.90589,461.66184,376.30202,342.09644,286.95575,257.81365,274.07069,342.30268,491.45685,437.6573,423.3643,374.83962
365.69811,326.05597,259.69166,239.56584,213.63839,238.17605,277.15227,250.76084,402.99889,475.53987,524.38148,672.68541,446.94813,337.5943,339.40742,438.41567,515.57615,344.03681,464.34764,516.72003,538.89492,504.14591,343.35997,259.0834
246.78804,356.50698,440.92629,504.1834,380.54062,386.24839,339.27795,275.90026,283.76137,242.13181,201.83349,156.0884,116.37918,81.01561,39.41489,29.83142,9.04852,4.85156,0.0,0.0,24.42234,55.93355,41.65755,21.60292
23.44585,31.56853,61.65772,112.90577,149.70726,122.06072,191.3377,364.81608,559.92172,498.22944,600.10426,526.39054,645.62709,825.82307,761.01148,917.78259,857.41518,820.43452,376.04555,460.95574,561.91928,499.01008,704.03823,417.93909
336.06287,330.92121,261.7457,213.22281,215.6478,226.86212,211.28231,161.04939,113.88679,105.94768,62.41615,83.25304,80.94065,41.26256,10.76201,2.75086,0.0,0.0,0.0,0.0,0.0,0.0,2.54863,0.0
0.30842,0.61587,0.42914,7.40022,37.66639,26.48676,12.66967,44.78468,33.51495,17.02193,20.7655,37.37371,39.83889,74.11328,65.15634,44.50476,62.38715,78.68995,84.23632,66.767,89.92489,105.3727,117.19419,80.6571
69.00716,89.69051,58.25048,65.34223,48.25454,33.11747,25.67374,43.16788,33.65523,41.41132,48.19299,51.87778,62.54706,78.76585,110.08536,87.18284,61.28211,75.12782,86.78175,55.91168,49.18747,19.55077,23.3096,39.40093
31.2113,42.96559,7.93831,0.0,0.0,12.9941,28.57218,19.80426,5.30823,21.55268,14.64343,12.27596,17.9703,6.6763,0.0,3.38363,11.90702,4.92319,2.70168,16.75513,9.83516,19.73535,16.99785,8.34264
36.4252,48.03036,39.35353,68.22893,64.48161,122.08462,107.60655,163.16435,237.4219,295.68334,217.55883,115.68883,183.70095,180.40265,207.79679,185.08637,193.04666,151.59896,156.68209,126.80943,133.05235,136.20458,163.39204,179.75644
168.7238,205.34291,185.7744,148.63292,110.97295,136.82271,177.01044,96.64771,74.04566,61.00328,49.19358,61.68322,60.55131,61.14931,62.6631,63.60237,64.08728,63.5442,61.40059,58.59204,54.09975,36.00864,21.51709,16.12161
5.41699,6.71538,3.98063,2.12711,0.0,1.74294,8.3383,29.73213,47.34168,68.97533,84.7164,78.99742,67.13554,97.68634,83.15762,105.97757,63.37266,57.10754,40.43798,28.90825,25.31596,22.18777,18.38525,18.98548
18.84368,22.15203,33.7579,62.36656,44.67366,65.86355,90.47202,105.08367,103.58246,122.49138,146.68126,187.34609,186.5897,244.17484,231.33399,265.05508,335.99526,303.66692,144.56617,102.2301,87.00777,55.64848,55.49684,32.0579
22.88026,36.15834,44.62095,39.85376,57.94543,58.47687,56.40642,64.30228,80.3808,79.92386,83.94989,67.3194,62.77303,64.57651,40.38563,25.68515,14.01887,12.21959,15.80837,17.71058,19.95601,18.94443,26.5519,27.69166
23.56247,37.66524,92.07172,114.00414,118.8676,83.58558,103.65233,112.45695,115.76924,145.59304,138.16366,162.12484,312.47321,302.6602,356.99237,306.0385,251.56866,298.91516,319.15383,622.3891,667.92278,681.05806,616.87602,645.38005
633.08386,570.74708,503.39249,702.64179,756.5547,748.69826,681.97331,641.38939,571.15369,539.0351,626.07232,596.8627,654.75608,712.84963,580.02566,587.44955,618.32968,592.22773,533.42828,597.30835,582.66653,506.83016,433.24447,404.832
436.03166,491.40647,489.73876,477.9706,472.16226,269.95308,341.32125,405.88837,464.36088,379.21838,272.49493,254.13787,239.80576,169.25187,167.68613,162.02755,161.17186,183.82895,195.25295,185.20011,169.30239,174.67224,224.7484,326.5027
440.76087,545.9453,680.06945,601.14003,577.34367,386.35651,281.73679,197.13666,145.59953,138.25624,108.02115,81.69916,94.67648,178.2515,246.0948,192.18827,198.56325,161.6126,191.68697,139.25405,130.91584,158.38487,365.30111,186.85613
273.43714,227.46208,235.91127,201.90627,175.96074,204.94423,242.93083,207.21825,196.31311,201.7914,192.21982,166.59433,198.89019,150.25244,119.7242,174.96472,130.15838,43.85158,37.66437,47.51254,25.34132,29.02602,40.90053,25.92642
30.99791,39.08185,49.92934,35.92436,55.85009,53.58418,87.70591,129.92093,107.48053,34.71724,10.6966,7.77717,9.12274,8.04152,5.8245,5.96753,7.47499,7.98316,8.87372,13.26852,22.47537,31.77466,32.13784,28.78411
25.11867,31.10254,39.42346,34.42992,31.09287,29.89989,32.3992,38.97517,37.4672,39.16061,49.12709,71.75532,69.12075,74.13838,81.04064,83.57427,83.81817,82.02725,77.71409,66.95301,61.35788,66.05956,80.45031,90.68979
90.47324,103.09229,102.45918,106.39073,113.86197,156.85995,187.23053,336.35263,430.70928,469.23871,502.415,520.15882,646.11912,688.88253,787.18846,876.23636,1000.80861,840.59223,838.62234,1042.08274,1032.97475,1039.61734,945.89314,919.6103
736.08939,688.87004,728.52776,688.66405,606.35513,574.11051,510.22853,474.88096,420.72168,388.05097,384.98592,348.11639,338.68654,377.57541,444.20557,599.72461,818.08616,995.14336,1081.67443,1112.13403,1179.73582,1194.82724,1164.86002,1085.20117
927.35564,829.57734,999.46306,1072.75197,1122.23644,1078.12081,1030.10132,1129.98142,1111.04993,1133.24069,1180.47319,1174.60265,1175.00075,1130.01229,1165.24394,1115.94735,972.33678,754.75809,797.72668,839.35128,666.80304,583.0462,537.35292,392.58677
288.68001,175.67443,149.82102,199.96198,219.69254,152.12812,189.70363,161.63849,105.37804,54.1852,58.91541,67.20191,113.11387,103.54331,180.81014,174.97055,72.75668,28.57824,22.12497,15.54382,6.308,0.0,0.0,0.0
0.0,0.0,8.03248,49.98145,60.67275,35.69914,30.63726,26.92549,26.47615,23.18463,41.7612,59.91246,58.77096,72.42913,57.852,61.41739,61.25203,39.98641,20.09155,13.23844,8.15746,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.05029,9.7282,2.65009,0.0,0.01803,0.0,0.0,0.0,0.0,0.0,0.0,9.77797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.53995,24.04498,66.99287,127.58048,160.26028,202.6327,226.53078,189.87906,206.86658,270.3198,301.51069,308.79705,268.54608,175.97104,213.47547,192.1401,199.59541,136.98305,37.33821,103.18391,191.74311,197.56225,218.36695
145.10193,126.8824,187.03317,258.11531,283.4458,426.16557,1177.09457,1397.55717,1399.85764,1381.20601,1393.90469,1378.09071,1385.0168,1382.88189,1379.19128,1386.01874,1364.85452,1369.17343,1306.80763,1300.42878,1313.96141,1326.31814,1344.50275,1323.46522
1310.21556,1298.98537,1316.44137,1274.1249,1283.15877,1206.26886,1208.22284,1264.99252,1284.22377,1272.61533,1295.30533,1288.85982,1314.86351,1307.20786,1289.24593,1245.51681,1225.32643,1204.80833,1245.37532,1249.96914,1252.26997,1201.27832,1155.07076,1111.54063
1097.57687,1088.42996,1181.11993,1190.08612,1195.15355,1062.83027,983.11541,523.75194,532.19988,628.028,651.40415,650.98931,478.9338,482.00694,779.75718,735.92224,784.2654,688.17342,763.40249,831.91547,698.52924,507.72876,450.24028,242.45254
163.23127,122.26362,81.3178,36.51841,21.64667,32.38478,62.85916,77.5681,69.25385,100.55638,87.64416,111.17336,84.47956,102.24055,106.93528,91.42357,94.95973,73.99912,65.24131,92.14049,91.27738,116.79712,67.70105,46.81539
28.0241,12.92066,17.8357,11.96274,10.90924,61.19044,91.61287,102.39579,46.17945,12.54304,28.06759,90.95053,134.09249,236.00945,322.7051,313.18871,300.71605,271.89869,152.75375,195.06976,158.43798,308.2104,404.26357,330.29175
224.97296,333.4009,641.49235,736.49575,723.21924,732.24613,712.24229,707.97348,664.63201,653.64271,591.29432,436.62572,362.62082,219.40574,127.49297,78.87629,18.19145,0.0,0.0,0.0,29.69599,30.65063,13.64951,0.0
5.21001,2.48078,8.06393,13.9028,20.3227,50.15896,136.34336,187.6568,181.09507,164.9763,147.40386,71.19246,44.982,37.52214,34.98644,6.34345,8.20937,32.50594,22.67824,24.24902,18.80729,32.23384,52.56786,48.73405
50.01724,61.43546,123.15209,217.94781,363.05028,554.81966,608.38214,716.45954,771.5235,872.36549,1009.31213,998.04918,1159.77556,1298.80087,1345.3964,1380.52456,1393.78902,1291.64379,961.52442,533.95416,323.13065,228.08754,172.42038,157.44857
301.80103,407.24408,492.9259,439.90784,271.36631,280.71982,284.27121,314.36259,254.21099,203.36603,232.87238,274.70202,379.39342,659.37687,1127.6523,1117.32059,918.54178,1119.93004,1095.09363,1187.22241,1200.7841,1088.46487,935.04774,714.31464
662.29418,722.35371,491.4652,502.1776,659.86789,713.92407,597.82174,513.71998,568.33558,639.41467,570.42438,404.79052,315.35406,297.4862,375.28592,390.03872,378.61718,444.36313,378.41373,193.06749,71.89569,16.28735,0.0,0.0
0.0,0.0,0.0,16.40802,7.96553,20.1082,157.40032,208.23709,225.21116,234.81162,295.80007,198.33933,136.46172,100.52128,62.23591,87.00164,65.5824,65.86791,90.77088,60.67597,35.70841,9.41837,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69019,4.15689,22.25782,103.29072,146.60157,65.99919,47.85031,52.89673,37.32035,23.51038,12.0975,0.64737
0.0,0.0,33.59189,66.77264,84.48982,78.48025,60.50011,45.71121,17.18538,2.45569,0.0,5.26312,3.84009,10.81862,28.94105,59.16389,73.19195,34.63684,61.46647,120.6054,105.86192,15.92754,33.42172,27.35478
19.33587,7.68546,20.55253,95.58139,114.92854,202.4937,142.62518,43.38061,83.03294,55.69623,25.14955,14.58262,28.72856,48.28814,31.93354,35.58466,43.95812,73.54483,148.9356,274.8978,377.59623,623.25148,835.98757,932.82493
881.16483,1113.58286,1132.48054,1063.68563,1256.11878,1224.90985,1173.10202,1050.27654,971.09343,763.65285,831.81485,919.812,663.79082,528.7425,601.86124,496.96142,462.64849,446.70346,352.97967,289.40072,193.41389,167.328,218.45408,232.41717
205.08231,159.98404,176.01835,253.47843,286.37072,477.94375,461.42959,512.87385,395.61459,188.484,78.00042,41.16416,81.50692,187.43158,232.23774,152.91832,102.53375,103.81245,76.66458,56.97105,81.97315,202.59337,331.08232,326.8104
187.52849,164.76036,150.42108,138.22896,154.56973,240.41437,329.47585,329.94657,576.25421,782.34968,942.34945,834.30461,711.10061,457.94423,477.94821,326.90501,280.16823,332.80998,252.1358,172.2803,123.91042,133.82058,148.60657,91.535
48.97819,43.85216,71.01577,49.62544,64.93229,49.23309,17.96615,11.70265,9.15329,6.3403,3.19397,0.94069,0.0,0.0,0.0,0.0,4.22919,6.50943,2.77215,2.67765,2.93533,6.84742,6.692,0.53297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61014,1.57675,0.97036,3.77279,6.02432,49.85609,136.87725,149.4483,122.0283,105.85641,78.71988,112.20775,85.45387,40.77184,35.44405,6.97433,2.27985
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47218,4.48224,7.40912,12.01173,21.19567,26.65522,39.63398,72.39448,72.495,62.61077
1070.53492,1115.66398,1149.96877,1152.67123,1055.54926,1111.64282,1051.87263,855.0831,813.13635,954.83908,790.70053,536.67312,439.696,303.16409,263.54951,269.99569,287.83786,413.85541,596.49707,595.46417,624.93406,700.64529,760.09223,677.96867
505.92909,607.05944,972.223,1228.50202,1253.55974,1232.93719,1247.15881,1295.90607,1297.53235,1246.20201,1210.77729,1265.89958,1251.89595,1216.1353,1218.20066,1261.61966,1312.16595,1303.46502,1309.57048,1298.76618,1288.56686,1298.54921,1276.53633,1252.88608
1129.70487,881.46374,1000.63649,958.25425,925.26396,1086.52351,1087.19778,822.94407,761.9136,353.06217,246.93439,340.5291,719.29003,502.09361,202.43508,129.4698,114.36153,170.04778,169.4105,153.01695,129.95438,98.5895,16.25494,0.0
0.0,0.0,5.63188,25.00634,36.80878,55.80505,69.09512,32.6056,24.55162,18.47946,2.72371,8.94785,21.16787,16.47406,8.8897,2.20563,2.19584,0.01941,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.12798,0.0,0.0,11.05272,155.30679,442.31224,607.40083,697.23784,681.71916,775.0462,668.05539,605.57481,452.14518,366.3057,357.5712,378.06694,377.08035,323.59069,267.67203,353.5183,403.01312,510.09635
610.895,685.07598,803.55492,883.18062,1119.49097,1075.78843,1107.05704,1144.54118,1033.20051,919.84936,849.7965,776.5419,717.31365,538.34941,489.56275,482.8977,476.68646,461.02628,256.8379,273.15571,347.69184,549.2024,850.13022,908.34445
1056.84323,1014.1944,1095.02595,1002.67683,856.04383,682.71719,507.54382,390.18938,367.82768,363.96457,344.2889,224.409,147.33877,137.89815,152.93467,140.47358,125.88856,114.09404,135.01526,94.16885,59.56556,68.55889,88.52644,62.01685
61.74684,62.87154,107.17145,90.50241,87.03998,152.36696,179.22632,134.11533,113.99909,43.95508,29.462,32.68469,27.41089,2.00373,0.0,0.0,0.0,0.0,0.0,4.3733,6.8488,15.98901,14.61621,13.72528
32.1594,95.28522,63.56992,93.59053,64.99543,38.38355,37.9984,46.15896,41.29498,10.78196,19.49513,4.77639,0.0,0.0,0.0,0.0,0.0,3.31683,7.51834,0.0,0.0,0.0,0.75129,6.84111
23.18311,14.35656,27.61386,43.886,47.54019,33.59543,60.16104,107.60671,161.77974,263.70474,349.92009,537.60838,529.80401,644.24826,806.53765,782.06858,624.83353,750.98595,748.20647,402.56949,184.97092,134.12977,29.43148,61.72686
16.24893,12.06279,14.0497,35.50347,119.99077,203.28022,115.29644,89.56476,27.51764,22.53029,13.29071,22.01151,2.11708,0.0,6.92522,59.65006,7.975,7.11019,0.14776,0.0,0.0,1.99954,2.78566,10.61684
26.27926,75.27203,140.57715,203.80546,260.44212,319.34096,359.07224,408.31917,445.25962,384.13677,233.64688,147.95335,117.43076,109.12048,90.86265,96.55285,79.62927,220.562,278.32661,203.04157,258.79475,326.82197,393.17492,530.85419
