x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
166.20572,128.0174,170.40771,207.91925,124.93185,79.46157,77.19859,109.83242,86.92093,243.11065,219.39329,174.26806,505.56348,255.28144,321.63629,194.50846,484.0622,476.74637,904.09248,996.7319,1623.43657,1861.57581,1941.0358,2187.9644
2101.23836,2056.07252,1964.62239,2091.69671,1976.89882,2278.79733,2502.75423,2582.30449,2525.31974,2044.51071,1920.50479,2099.53843,2034.34297,2193.45308,2216.37169,1508.94914,790.59763,324.86559,357.45062,395.13902,331.37287,188.29801,128.23789,91.42033
117.21161,167.22576,168.35902,114.28571,109.05907,174.33863,135.78433,164.53378,158.0843,153.61385,152.68258,148.81255,172.63532,228.13728,215.74414,208.7446,177.14584,156.13551,159.13475,139.65877,138.31035,100.10926,84.02944,78.49809
64.35759,64.82609,85.15717,79.5535,81.97665,88.7817,77.88399,89.13292,136.70079,243.18219,177.77593,167.80371,263.74523,375.57744,795.59435,946.37227,1199.3831,1243.89709,1101.69352,1046.72696,1155.54806,1283.74959,1330.56191,1239.67766
1465.15819,1468.34533,1463.87169,1435.56471,1217.33942,945.16795,566.98778,533.74179,651.9633,856.31498,1304.05674,1235.07314,1236.06425,1724.84854,2138.72974,2062.92442,2122.98604,1848.55717,1865.33013,1878.53129,1950.20663,2006.68337,2055.22786,2328.83932
2306.88237,2150.89752,1358.57471,675.58862,473.20905,360.4209,360.12054,345.00781,345.36875,385.15748,449.39573,491.76433,454.00048,452.56049,431.2165,396.85892,394.7375,435.06843,371.65617,292.58776,364.71546,229.31171,238.91083,204.48898
197.14204,216.65342,226.67193,199.84032,217.931,227.87516,227.00345,249.22711,246.86388,223.92172,219.65483,207.8675,196.51746,193.02033,193.71462,183.55343,141.63698,136.74332,121.61214,131.08869,126.4533,95.652,57.21656,53.50728
44.29374,55.5928,127.79556,296.73851,505.99821,752.36135,576.08065,680.6619,1499.86205,2183.1262,2627.17706,2405.84746,2299.39038,2621.05193,2836.98525,2267.99152,1898.25668,1661.74569,1480.69184,1677.8025,2226.66694,2466.87127,3057.848,3164.75834
3168.89959,3023.6251,2875.82032,2405.58684,2300.85741,2240.37579,2359.06942,2515.98473,2591.91934,2924.74914,2874.64109,2781.61583,2512.3524,2500.78995,2460.51671,2507.4772,2678.51984,2493.66469,2187.13628,2077.71889,2002.54547,2152.36877,2722.27727,2940.65409
3258.37408,3077.38281,2391.55934,1706.77313,1107.62879,1491.74602,1540.87417,1597.1399,1510.86953,1876.96369,967.47773,538.14355,884.80977,991.92197,635.58216,409.51936,168.88222,64.88624,48.26703,51.68207,63.83505,65.8692,54.75365,42.81197
43.82638,42.81754,49.95133,55.58733,105.79145,336.41398,622.55227,921.45728,960.71122,1030.12785,1641.68444,1820.33316,1789.91596,1749.30989,1838.61101,1766.75127,2087.78857,2131.6117,2320.78502,2137.55507,2310.01088,2511.69742,2611.41211,2544.43645
2508.15211,2446.76356,2294.69083,2184.72091,2057.4591,2267.73484,2199.67914,1451.52881,632.72887,460.86242,607.53019,1713.19709,1995.42794,1816.38207,1947.99706,1810.97296,1658.98614,1092.28213,1308.51685,1533.88519,1868.27174,1921.97845,2154.36794,2572.62727
